Name of crops,2016-17,,2017-18,,2018-19,
,Area,Prod.,Area,Prod.,Area,Prod.
Aus Rice,,,,,,
Local,465703,253527,396308,222892,433685,241733
HYV*,1861285,1880090,2260276,2486751,2297691,2533745
Total Aus,2326988,2133617,2656584,2709643,2731376,2775478
Aman Rice,,,,,,
Broadcast,810494,396272,903078,442201,837169,400722
Local Trans.,2675628,1820241,2313473,1340511,2155120,1267655
HYV*,10310651,11433542,10817952,12210162,10900108,12386495
Total Aman,13796773,13656054,14034503,13992874,13892398,14054872
Boro Rice,,,,,,
Local,84137,65936,80262,62343,122021,84779
HYV*,9268392,14674722,9992250,15835103,9612305,15364347
Hybrid,1707808,3273091,1935471,3678373,2107983,4111420
Total Boro,11060337,18013749,12007983,19575819,11832309,19560546
Total Rice,27184038,33803420,28699070,36278336,28456083,36390896
Wheat,1026343,1311473,867884,1099373,816322,1016811
"Total of Mojar
Cereals",28210441,35114893,29566954,37377709,29272405,37407707
