Crops,Area,,,,,Production,,,,
,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19
CEREALS,,,,,,,,,,
Aus,32,34,32,37,38,84,82,77,97,100
Aman,97,98,125,127,126,164,170,204,209,210
Boro,307,303,284,309,304,490,484,460,501,500
Wheat,65,66,61,52,49,92,92,90,75,69
Barley/Jab,02,02,01,01,07,04,03,02,02,01
Jower(Rabi+Kharif),12,10,05,04,05,10,09,07,07,07
Maize,8624,8876,10332,10617,11806,69480,74788,92520,100554,109154
Cheena & Kaon,04,04,04,03,02,07,07,05,04,03
Binnidana,,,,,,,,,,
PULSES,,,,,,,,,,
Gram,06,06,05,05,04,08,08,08,06,07
Arhar,08,08,07,07,07,11,10,10,09,09
Masur,62,66,66,67,61,102,96,105,108,107
Motor,33,32,31,32,31,49,49,48,54,50
Mung,65,68,69,62,87,94,105,99,97,97
Mashkalai,52,53,56,59,61,61,64,56,76,78
Khesari,46,46,46,43,43,66,67,65,63,64
Gari Kalai,638,-,-,0,11,7128,-,-,0,17
OIL SEEDS,,,,,,,,,,
Til,45,44,44,40,40,77,74,74,75,68
Rape & Mastard,84,83,87,80,70,126,125,127,123,109
Ground nut,113,110,141,146,135,179,178,208,211,198
Linseed,10,10,08,08,08,13,13,11,12,10
Castor,-,-,-,0,,-,-,-,0,
Coconut,12,12,13,14,117,462,460,492,562,520
Soyabean,,-,-,0,,-,-,-,0,
Other Oil Seeds,224,220,233,253,,660,658,598,779,
"SPICES &
CONDIMENTS",,,,,,,,,,
Chillies,128,126,143,140,134,275,270,306,315,334
Onion,498,495,545,524,506,1211,1200,1327,1235,1281
Garlic,449,445,222,317,1323,866,860,1066,1158,1169
Turmeric,164,164,169,171,187,441,440,488,510,502
Ginger,164,162,144,154,154,210,210,196,200,202
Coriander,379,375,393,381,448,694,693,689,685,792
