District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,449,0,412,0,0,0,478,0
Jhalokathi,470,0,0,0,0,0,525,0
Perojpur,477,400,465,350,400,300,560,450
Bhola,484,0,0,0,0,0,500,0
Patuakhali,420,0,0,0,0,0,480,0
Barguna,502,0,485,0,0,0,510,0
Barisal Division,467,400,454,350,400,300,509,450
Jashore,0,0,0,0,0,0,285,230
Jhenaidah,330,239,319,230,318,225,374,268
Magura,387,0,279,0,334,0,445,0
Narail,300,0,0,0,290,0,334,275
Khulna,0,0,0,0,0,0,495,416
Bagerhat,537,350,525,340,510,330,545,400
Satkhira,0,0,0,0,0,0,298,230
Kushtia,338,0,320,0,280,0,392,0
Chuadanga,312,0,0,,0,0,330,0
Meherpur,316,0,0,0,0,0,367,0
Khulna Division,360,295,361,285,346,278,387,303
Rajshahi,351,255,339,250,0,0,357,268
Naogaon,362,312,343,284,332,270,359,325
Natore,309,222,0,0,0,0,347,245
Chapai Nawabganj,340,300,330,285,325,275,341,317
Bogra,0,0,0,0,330,230,390,255
Joypurhat,300,250,0,0,270,240,310,260
Pabna,427,312,413,241,328,0,437,335
Sirajganj,0,0,0,0,0,0,325,250
Rajshahi Division,348,275,356,265,317,254,358,282
Rangpur,325,215,0,0,0,0,360,240
Gaibandha,0,0,0,0,0,0,300,238
Kurigram,325,225,0,0,0,0,323,200
Nilphamari,343,226,0,0,0,0,319,235
Lalmonirhat,337,220,0,0,0,0,339,230
Dinajpur,352,262,0,0,0,0,364,300
Thakurgaon,323,266,0,0,0,0,325,275
Panchagarh,365,263,0,0,0,0,340,285
Rangpur Division,339,240,0,0,0,0,334,250
BANGLADESH,392,297,391,296,371,285,416,313
