Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,22,20,489,125,106,106,515,647,636,640,753,742
2,Barishal,155,174,3590,2098,2170,1705,5135,7528,5928,7233,9698,7633
3,Bhola,0,0,430,0,0,0,1842,2002,756,1842,2002,756
4,Jhallokati,400,409,2893,4531,3262,3262,2033,1591,1639,6564,4853,4901
5,Patuakhali,0,0,2657,0,0,0,1131,1269,2065,1131,1269,2065
6,Pirojpur,1476,1479,10362,30802,31999,27195,3492,3616,4067,34294,35615,31262
1,Barishal,2053,2082,20421,37556,37537,32268,14148,16653,15091,51704,54190,47359
7,Bandarban,203,203,144,337,354,100,259,259,360,596,613,460
8,Brahmanbaria,1033,29,629,809,870,1295,1758,1967,1990,2567,2843,3285
9,Chandpur,0,0,546,0,0,0,1745,2084,8719,1745,2084,8719
10,Chattogram,755,755,54470,33634,38774,26645,7710,7539,4534,41344,46313,31179
11,Cumilla,15,15,1764,62,61,2911,5469,5131,5812,5531,5192,8723
12,Cox's Bazar,32,85,216,195,269,511,1306,1220,982,1501,1489,1493
13,Feni,0,0,195,0,0,103,652,640,665,652,640,768
14,Khagrachhari,238,166,596,454,316,365,775,809,1056,1229,1125,1421
15,Laksmipur,7,7,190,80,0,0,967,1068,1004,1047,1068,1004
16,Noakhali,0,0,158,0,0,0,1247,935,1199,1247,935,1199
17,Rangamati,228,228,807,1373,1315,853,1539,1530,2846,2912,2845,3699
2,Chattogram,2511,1488,59715,36944,41959,32783,23427,23182,29167,60371,65147,61950
18,Dhaka,476,417,534,1645,1632,266,1435,1485,1893,3080,3117,2159
19,Faridpur,69,69,1598,422,390,785,1204,1208,375,1626,1598,1160
20,Gazipur,1861,1861,2727,3128,3395,4179,1723,2015,2533,4851,5410,6712
21,Gopalganj,45,176,274,128,100,75,1179,1498,1115,1307,1598,1190
22,Kishorganj,26,27,145,164,164,165,1674,1951,2237,1838,2115,2402
23,Madaripur,4,4,648,35,34,433,861,852,215,896,886,648
24,Manikganj,15,15,264,203,203,344,1162,1162,1318,1365,1365,1662
25,Munshiganj,17,19,90,47,49,62,576,604,1316,623,653,1378
26,Narayanganj,26,25,15,260,280,634,467,498,723,727,778,1357
27,Narsingdi,82,177,339,1306,1531,2463,3309,2593,1912,4615,4124,4375
28,Rajbari,126,113,111,348,273,313,1096,1006,1128,1444,1279,1441
