Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,428064,0,0,0,0,8433,13880,5883,8433,13880,5883
2,Barishal,0,232509,0,0,0,0,7300,7571,8457,7300,7571,8457
3,Bhola,0,160857,0,0,0,0,1647,2472,2560,1647,2472,2560
4,Jhallokati,0,68270,0,0,0,0,4699,1310,1405,4699,1310,1405
5,Patuakhali,0,254802,0,0,0,0,3365,3281,3341,3365,3281,3341
6,Pirojpur,0,222208,0,0,0,0,5349,5359,4394,5349,5359,4394
1,Barishal,0,1366710,0,0,0,0,30793,33873,26040,30793,33873,26040
7,Bandarban,0,545,0,0,0,0,52,52,54,52,52,54
8,Brahmanbaria,0,15394,0,0,0,0,474,440,514,474,440,514
9,Chandpur,0,183452,3330,0,0,0,5281,5270,0,5281,5270,0
10,Chattogram,0,109497,3330,0,0,0,4007,4067,2722,4007,4067,2722
11,Cumilla,0,166325,3140,0,0,210,6864,6683,1800,6864,6683,2010
12,Cox's Bazar,0,3989,1,50,51,0,328,323,374,378,374,374
13,Feni,0,82206,160,0,0,0,1470,1519,1550,1470,1519,1550
14,Khagrachhari,0,4528,24,0,0,0,92,91,95,92,91,95
15,Laksmipur,0,89877,0,0,0,0,3304,3300,3306,3304,3300,3306
16,Noakhali,0,284161,304,0,0,0,13125,12629,13158,13125,12629,13158
17,Rangamati,1,6026,148,8,8,0,172,268,275,180,276,275
2,Chattogram,4,946003,10437,58,59,210,35169,34642,23848,35227,34701,24058
18,Dhaka,0,22121,27,0,0,0,839,853,753,839,853,753
19,Faridpur,22,287905,9025,588,115,0,8171,8910,928,8759,9025,928
20,Gazipur,8,77703,2316,134,9,0,2144,2341,122,2278,2350,122
21,Gopalganj,15,276694,547,242,40,0,3425,3665,6121,3667,3705,6121
22,Kishorganj,0,21730,40,0,0,0,406,551,515,406,551,515
23,Madaripur,0,296514,7088,0,0,0,9072,9394,7088,9072,9394,7088
24,Manikganj,0,18148,695,0,0,0,691,669,695,691,669,695
25,Munshiganj,0,11030,15,0,0,0,269,254,230,269,254,230
26,Narayanganj,0,10015,8,0,0,0,414,311,377,414,311,377
27,Narsingdi,0,54931,25,0,0,0,1268,1348,1269,1268,1348,1269
28,Rajbari,0,46867,2186,0,0,0,2336,2177,2186,2336,2177,2186
29,Shariatpur,0,87108,45746,0,0,0,644,551,600,644,551,600
30,Tangail,3,83348,1921,60,53,53,1865,1604,1773,1925,1657,1826
3,Dhaka,48,1294114,69639,1024,217,53,31544,32628,22657,32568,32845,22710
31,Bagerhat,7,208119,129,0,136,0,3558,3349,3087,3558,3485,3087
32,Chuadanga,0,15440,15,0,7,0,347,361,390,347,368,390
33,Jashore,10,95162,246,110,107,106,2707,2180,2245,2817,2287,2351
34,Jhenaidah,0,141898,167,0,0,0,2145,2271,2403,2145,2271,2403
35,Khulna,0,91728,0,0,0,0,1552,1625,1546,1552,1625,1546
36,Kushtia,20,54692,82,103,105,0,1662,1632,1677,1765,1737,1677
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,97367,109,0,0,0,2955,2186,2022,2955,2186,2022
38,Meherpur,0,9728,31,0,0,0,217,218,216,217,218,216
39,Narail,0,55413,0,0,0,0,1520,1464,0,1520,1464,0
40,Satkhira,7,137804,74,48,47,82,1647,1713,2885,1695,1760,2967
