Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug,Sep.,Oct.,Nov.,Dec.
Dinajpur,10.4,13.7,16.6,21.4,23.7,25.5,26.5,26.9,25.7,22.6,18.2,****
Rangpur,11.5,14.4,17.3,21.6,23.3,25.4,26.4,27.3,25.8,23.1,19.4,****
Rajshahi,10.4,13.1,17.4,22.9,25.5,26.3,26.4,26.8,26.2,23,18.3,12.4
Bogra,12.5,15.4,19.1,23.1,25.2,26.2,26.7,27.6,26.5,23.6,19.8,13.6
Mymensingh,12.1,15.5,18.9,22.3,24.1,26.1,26.6,27.3,****,****,****,****
Sylhet,13.8,15.7,19,21.3,22.9,25.4,25.7,26.3,25.5,23.3,19.8,14.9
Srimangal,9.7,12.5,17.2,21,23.8,25.6,25.7,25.9,25.1,****,****,****
Ishurdi,10.4,13.1,17.8,22.9,25.6,26.1,26.5,26.8,26.2,****,****,****
Dhaka,14.6,16.8,21.1,23.6,25.6,26.5,26.8,27.1,26.5,24.4,20.7,15.4
Comilla,12.2,15.9,19.6,22.9,25.4,26.4,26.1,26.5,25.9,24.3,****,****
Chandpur,14.5,16.6,20.9,24,26.4,26.8,26.3,26.7,26.4,24.7,****,****
Jessore,12.8,13.8,19.2,23.3,26.1,26.5,26.9,26.7,****,****,****,****
Faridpur,11.8,14.5,19.5,22.9,25.3,25.7,25.9,26,****,****,****,****
Madaripur,11.1,14.3,19,22.7,25.4,26,26.3,26.1,****,****,****,****
Khulna,12.2,15.6,21.2,24.2,26.6,27.2,27,26.6,****,****,****,****
Satkhira,11,14.9,20.1,24.2,26.7,27.1,27.2,26.4,****,****,****,****
Barisal,10.6,14.4,20,23.4,26.2,26.7,26.3,26.4,25.9,23.7,****,****
Bhola,11.4,15.1,20.6,23.8,26.5,26.8,26.3,26.5,26,24,19.8,14.3
Feni,12.4,15.4,20,23.1,25.7,26,25.6,26.1,25.4,****,****,****
M.court,13.9,16.3,20.6,23.6,26.1,26.7,26.3,26.7,26.3,24.9,****,****
Hatiya,12.7,15.6,20.5,23.5,25.9,26.7,26,26.3,25.9,****,****,****
Sitakunda,11.2,14.3,19.4,23,25.7,26.2,25.7,26.2,25.6,****,****,****
Sandwip,12.4,15.6,20,23.4,26,26.4,25.6,26.2,****,****,****,****
Ambagan(Ctg),14.5,16.9,20.9,23.9,25.9,26.5,25.6,26.1,25.6,24.6,20.9,15.9
Kutubdia,14.5,17,20.9,23.7,26.8,26.6,25.8,26.1,25.6,25,21.3,16.1
Cox's Bazar,15.5,18.2,21.5,24.5,26.9,26.3,25.5,25.8,25.3,25,22.2,16.7
Teknaf,13.5,15.9,20.2,22.4,26.8,25.7,24.7,****,****,****,****,****
Rangamati,12,14.6,18.5,22.3,25.3,25.3,24.9,25.1,24.9,24,20.4,14.4
Patuakhali,12.8,16.1,21.3,24.1,26.4,26.6,26.5,26.6,****,****,****,****
Khepupara,12,15.5,20.9,24.1,26.6,26.7,26.6,26.2,25.9,24.1,20.1,14.9
sydpur,10.7,14.2,16.6,21.2,23.1,25.3,26.4,26.9,25.4,22.5,18.4,11.9
Tangail,11.5,14.7,19,22.3,24.3,25.3,25.7,26.6,****,****,****,****
Mongla,13.2,16.2,21.2,24.5,26.8,26.8,26.8,26.6,26.1,24.4,20.7,****
chuadanga,9.6,12.9,18.6,22.9,26,26.6,26.6,26.5,25.9,22.9,17.9,12.4
Chittagong,14.7,17.3,21.3,24.1,26.5,26.7,25.8,26.3,25.7,****,****,****
