Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund
)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maun
d)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jessore,0,0,0,0,0,0,0,0,0.000,0
34,Jhenaidah,0,0,0,0,0,0,0,0,0.000,0
35,Khulna,3,1,19.40,1.789,2,216,87,20.60,1.900,166
36,Kustia,0,0,0,0,0,0,0,0,0.000,0
37,Magura,0,0,0,0,0,0,0,0,0.000,0
38,Meherpur,0,0,0,0,0,0,0,0,0.000,0
39,Narail,154,62,26.95,2.486,155,60,24,27.41,2.528,61
40,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,"Khulna
Division",157,64,26.81,2.473,157,3794,1535,22.78,2.102,3227
41,Jamalpur.,1582,640,16.59,1.530,980,1356,549,20.93,1.931,1059
42,Mymensingh,423,171,25.21,2.325,398,377,153,24.65,2.274,347
43,Netrokona,1261,510,24.90,2.297,1172,791,320,22.89,2.111,676
44,Sherpur,168,68,19.22,1.773,121,168,68,17.60,1.623,110
5,"Mymensingh
Division",3434,1390,20.83,1.922,2670,2692,1089,21.82,2.013,2192
45,Bogura,3817,1545,19.13,1.765,2726,3717,1504,18.74,1.729,2600
46,Joypurhat,0,0,0,0,0,0,0,0.00,0.000,0
47,Naogaon,0,0,0,0,0,0,0,0.00,0.000,0
48,Natore,85,34,26.47,2.442,84,27,11,23.45,2.163,24
49,"Chapai
Nawabgonj",0,0,0.00,0.000,0,0,0,0.00,0.000,0
50,Pabna,1105,447,17.39,1.604,717,920,372,17.39,1.604,597
51,Rajshahi,0,0,0,0,0,0,0,0.00,0.000,0
52,Sirajgonj,6026,2439,25.56,2.358,5749,5707,2309,22.86,2.109,4870
6,"Rajshahi
Division",11033,4465,22.52,2.078,9276,10371,4197,20.90,1.928,8091
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,1404,568,17.59,1.622,922,1647,667,18.67,1.722,1148
55,Kurigram,3263,1320,19.01,1.753,2315,3088,1250,20.93,1.931,2413
56,Lalmonirhat,0,0,0,0,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0,0,0,0,0,0.00,0.000,0
58,Panchagar,0,0,0,0,0,0,0,0.00,0.000,0
59,Rangpur,0,0,0,0,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0,0,0,0,0,0.00,0.000,0
7,"Rangpur
Division",4667,1889,18.58,1.714,3237,4735,1916,20.14,1.858,3560
61,Hobigonj,204,83,21.98,2.027,167,93,38,19.89,1.835,69
62,Maulovibazar,2260,915,24.01,2.215,2025,775,314,20.61,1.901,596
63,Sunamgonj,0,0,0.00,0.000,0,10298,4167,20.14,1.858,7742
64,Sylhet,16735,6772,21.10,1.946,13181,44920,18178,19.65,1.813,32950
8,"Sylhet
Division",19199,7769,21.45,1.979,15373,56086,22697,19.75,1.822,41357
BANGLADESH,,80262,32480,20.81,1.919,62343,112021,45332,20.28,1.870,84779
