"SL
No",Nane of Region,Aman,Boro,Wheat,"Sugar-
cane",Cotton,Potato,Vegetables,"Other
Crops","Total
Irrigated
Area"
1,Bandarban,0,8,0,..,1,2,2,1,14
2,Khagrachari,12,25,0,1,3,2,10,8,61
3,Rangamati,0,18,0,1,0,1,7,3,30
4,Chattogram,6,170,..,2,0,12,55,30,275
5,Coxs Bazar,0,124,0,1,0,2,12,9,148
6,Cumilla,12,371,2,1,0,11,17,25,439
7,Chandpur,..,156,1,2,0,19,8,1,187
8,Brahmmanbaria,18,260,1,0,0,2,10,2,293
9,Noakhali,..,148,..,..,0,..,6,2,156
10,Lakshmipur,0,112,..,..,0,1,4,3,120
11,Feni,..,76,..,..,..,1,6,6,89
,Chattogram Division,48,1468,4,8,4,53,137,90,1812
12,Sylhet,62,130,..,0,0,2,18,11,223
13,Moulvibazar,7,83,..,0,..,4,10,4,106
14,Sunamganj,56,316,..,..,0,1,12,11,396
15,Habiganj,14,190,..,0,0,4,18,5,231
,Sylhet Division,139,719,..,0,0,11,58,29,956
16,Dhaka,6,113,..,..,0,2,9,..,130
17,Gazipur,20,159,..,...,..,1,7,2,189
18,Manikganj,16,119,..,..,0,2,4,19,160
19,Munshiganj,..,58,..,..,0,77,6,2,143
20,Narayanganj,2,54,..,..,0,4,14,1,75
21,Narsingdi,12,121,..,..,0,..,33,5,171
22,Faridpur,51,72,76,5,0,1,15,76,296
23,Rajbari,75,78,35,0,0,..,8,15,211
24,Madaripur,6,81,11,..,..,2,7,31,138
25,Gopalganj,7,185,15,..,0,1,5,6,219
26,Shariatpur,13,57,7,..,0,3,9,10,99
27,Tangail,71,419,8,1,..,3,22,12,538
28,Kishoreganj,11,393,2,..,0,9,8,4,427
,Dhaka Division,290,1909,154,6,0,105,147,183,2796
29,Mymensingh,23,608,3,1,..,5,29,5,674
30,Jamalpur,45,323,17,9,0,14,16,16,440
31,Sherpur,9,220,5,..,0,6,14,6,260
32,Netrokona,8,421,1,..,0,1,4,3,438
,Mymensingh Division,85,1572,26,10,0,26,63,30,1812
