Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,69,59,73,77,73,90
2,Barishal,420,743,440,470,451,759
3,Bhola,192,389,191,415,220,469
4,Jhallokati,133,162,131,144,130,150
5,Patuakhali,66,67,56,64,55,65
6,Pirojpur,116,195,122,215,122,224
1,Barishal,996,1615,1013,1385,1051,1757
7,Bandarban,117,173,117,174,117,173
8,Brahmanbaria,140,210,139,213,144,220
9,Chandpur,258,429,258,429,262,431
10,Chattogram,899,1730,900,1726,892,1712
11,Cumilla,224,525,236,518,242,496
12,Cox's Bazar,11,22,10,20,47,50
13,Feni,97,195,104,205,98,196
14,Khagrachhari,177,273,192,312,208,370
15,Laksmipur,175,140,175,140,175,142
16,Noakhali,265,501,248,482,279,445
17,Rangamati,140,122,143,126,143,122
2,Chattogram,2503,4320,2522,4345,2607,4357
18,Dhaka,498,1176,502,2162,566,2230
19,Faridpur,1205,2339,1205,2339,1218,2352
20,Gazipur,163,332,189,352,190,355
21,Gopalganj,310,855,345,1036,345,1037
22,Kishorganj,166,231,140,192,189,519
23,Madaripur,175,177,184,188,195,191
24,Manikganj,137,249,204,265,219,296
25,Munshiganj,471,718,490,770,486,602
26,Narayanganj,379,659,380,588,378,585
27,Narsingdi,159,205,157,200,153,184
28,Rajbari,501,1105,638,2451,600,2350
29,Shariatpur,107,248,111,294,122,339
30,Tangail,332,689,329,688,382,844
3,Dhaka,4603,8983,4874,11525,5043,11884
31,Bagerhat,490,1926,591,1928,588,2009
32,Chuadanga,860,3093,844,2751,870,2810
33,Jashore,1439,4426,1440,4429,1416,4351
34,Jhenaidah,799,1915,830,2026,805,1979
35,Khulna,452,1014,450,1015,456,1122
36,Kushtia,699,16677,719,1989,729,2002
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,186,528,189,529,203,678
38,Meherpur,282,1021,282,1022,286,1075
39,Narail,433,1339,434,1341,428,1320
40,Satkhira,628,1627,647,1745,710,1805
4,Khulna,6268,33566,6426,18775,6491,19151
41,Jamalpur,398,504,1002,1675,1004,1785
42,Mymensingh,584,2423,564,2255,583,2314
43,Netrakona,136,261,139,272,200,305
44,Sherpur,141,424,155,513,169,547
5,Mymensingh,1259,3612,1860,4715,1956,4951
45,Bogura,334,1006,339,996,342,1001
46,Joypurhat,172,555,176,564,174,564
47,Naogaon,502,1019,533,1081,537,1116
48,Natore,285,698,225,620,255,620
49,Chapai Nawabganj,210,503,213,498,244,574
50,Pabna,537,980,493,931,560,1019
51,Rajshahi,738,2144,766,2225,911,2492
52,Sirajganj,330,750,470,1125,494,1241
6,Rajshahi,3108,7655,3215,8040,3517,8627
53,Dinajpur,357,679,378,693,370,620
54,Gaibandha,214,298,213,311,220,324
55,Kurigram,295,644,297,615,307,712
56,Lalmonirhat,250,544,235,576,243,603
57,Nilphamari,241,722,301,876,324,822
58,Panchagarh,466,1636,460,1607,474,1675
59,Rangpur,494,826,509,866,502,853
60,Thakurgaon,298,940,304,955,307,977
7,Rangpur,2615,6289,2697,6499,2747,6586
61,Habiganj,23,71,25,76,25,85
62,Maulvibazar,111,99,126,109,126,112
63,Sunamganj,25,7,27,18,27,10
64,Sylhet,87,75,88,122,82,96
8,Sylhet,246,252,266,325,260,303
,BANGLADESH,21598,66292,22873,55609,23672,57616
