District/Division,,"Total
area","Forest
area","Not available
for cultivation
area","Culturable
waste area","Current
fallow
area","Single
cropped
area","Double
cropped
area","Triple
cropped
area","Quardruple
Cropped
area","Net
cropped
area","Gross
cropped
area"
1,,2,3,4,5,6,7,8,9,10,11,12
1,Bandarban,1107,798,107,105,28,45,18,6,0,69,99
2,Khagrachari,679,554,46,3,0,14,43,19,0,76,157
3,Rangamati,1511,1379,39,6,2,53,25,7,0,85,124
4,Chattogram,1305,426,443,27,2,102,225,80,0,407,792
5,Coxs Bazar,616,209,178,14,2,73,113,27,0,213,380
6,Cumilla,777,2,201,6,40,129,291,106,2,528,1037
7,Chandpur,407,0,132,2,34,140,81,18,0,239,356
8,Brahmmanbaria,465,0,124,4,33,124,150,30,0,304,514
9,Noakhali,911,385,187,5,8,53,197,75,0,326,674
10,Lakshmipur,356,50,82,3,3,19,154,45,0,218,462
11,Feni,245,20,87,2,7,10,87,32,0,129,280
1,"Chattogram
Division",8379,3823,1626,177,159,762,1385,445,2,2594,4875
12,Sylhet,853,50,265,38,63,261,139,37,0,437,650
13,Moulvibazar,692,71,185,31,64,193,124,24,0,341,513
14,Sunamganj,926,18,297,45,99,343,89,35,0,467,626
15,Habiganj,651,36,203,18,28,122,191,53,0,366,663
2,Sylhet Division,3122,175,950,132,254,919,543,149,0,1611,2452
16,Dhaka,362,1,175,6,3,96,63,18,0,177,276
17,Gazipur,446,65,170,12,6,100,77,18,0,195,308
18,Manikganj,342,0,110,2,0,26,121,80,3,230,520
19,Munshiganj,248,0,83,1,1,47,91,25,0,163,304
20,Narayanganj,169,0,71,1,0,45,31,21,0,97,170
21,Narsingdi,284,0,97,0,2,59,83,42,3,187,363
22,Faridpur,507,0,152,43,50,54,153,55,0,262,525
23,Rajbari,270,0,60,12,23,49,84,41,1,175,344
24,Madaripur,278,0,46,0,0,68,114,51,0,232,446
25,Gopalganj,363,0,118,8,38,73,95,31,0,199,356
26,Shariatpur,290,0,113,4,30,74,50,18,0,143,228
27,Tangail,844,123,156,18,28,161,242,114,0,519,987
28,Kishoerganj,664,0,192,19,15,195,188,55,0,438,736
3,Dhaka Division,5067,189,1543,126,192,1047,1392,568,7,3014,5563
29,Mymensinghh,1086,39,295,5,9,120,464,152,2,738,1512
30,Jamalpur,523,10,150,8,19,63,193,77,3,336,692
31,Sherpur,337,20,65,1,0,40,162,45,4,251,515
32,Netrokona,690,2,182,30,15,161,233,67,0,461,828
4,"Mymensingh
Division",2636,71,692,44,43,384,1052,341,9,1786,3547
33,Barishal,688,0,324,6,33,196,107,22,0,325,476
34,Jhalokathi,175,0,60,0,3,38,54,20,0,112,206
35,Perojpur,316,6,115,1,3,113,56,24,0,191,295
36,Bhola,841,360,30,1,0,106,184,158,2,450,956
37,Patuakhali,796,150,151,6,23,298,137,31,0,466,665
38,Barguna,453,75,32,1,0,209,88,47,1,345,530
5,Barishal Division,3269,591,712,15,62,958,626,302,3,1889,3128
