Cumilla,1271,2827,77.57,2193,3466,29.66,3835
Sylhet,14298,19186,40.66,7801,22399,32.61,27265
Manikgonj,1227,1680,45.42,763,1990,27.95,2076
Tangail,17340,16296,39.11,6373,23713,26.39,23359
Bogura,28942,15238,43.87,6685,35627,28.13,37409
Joypurhat,197,5660,17.44,987,1184,30.91,1366
Pabna,9,205,24.00,49,58,28.43,62
Naogaon,2914,4272,37.25,1591,4505,32.71,5501
Rangpur,535,3500,15.00,525,1060,29.89,1183
Gaibandha,5001,3252,30.87,1004,6005,29.25,6556
Nilphamari,-,739,46.62,345,345,28.54,368
Bangladesh,72034,72855,38.87,28316,100350,29.09,108980
