District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,430,0,415,0,0,0,482,0
Jhalokathi,480,0,0,0,0,0,493,0
Perojpur,478,450,468,400,375,350,520,500
Bhola,414,0,311,0,0,0,430,0
Patuakhali,413,0,0,0,0,0,442,0
Barguna,520,0,500,0,0,0,530,0
Barisal Division,456,450,424,400,375,350,483,500
Jashore,0,0,0,0,0,0,274,225
Jhenaidah,342,233,332,230,320,233,363,260
Magura,431,0,380,0,357,0,481,0
Narail,324,0,0,0,300,0,336,327
Khulna,0,0,0,0,0,0,488,377
Bagerhat,350,300,325,290,315,285,366,315
Satkhira,0,0,0,0,0,0,291,199
Kushtia,340,0,330,0,290,0,393,0
Chuadanga,312,0,0,0,0,0,330,0
Meherpur,300,0,0,0,0,0,327,0
Khulna Division,343,267,342,260,316,259,365,284
Rajshahi,368,299,356,250,0,0,374,300
Naogaon,345,296,318,261,300,250,360,315
Natore,309,223,0,0,0,0,348,245
Chapai Nawabganj,309,267,300,260,290,250,350,267
Bogra,0,0,0,0,349,248,425,300
Joypurhat,320,250,0,0,300,240,360,280
Pabna,420,315,400,300,0,0,430,325
Sirajganj,0,0,0,0,0,0,322,300
Rajshahi Division,345,275,344,268,310,247,371,292
Rangpur,325,215,0,0,0,0,335,263
Gaibandha,0,0,0,0,0,0,287,185
Kurigram,305,240,0,0,0,0,295,233
Nilphamari,310,226,0,0,0,0,340,235
Lalmonirhat,304,270,295,214,0,0,322,275
Dinajpur,307,225,275,220,0,0,335,263
Thakurgaon,310,250,0,0,0,0,296,260
Panchagarh,305,239,0,0,0,0,317,250
Rangpur Division,309,238,285,217,0,0,316,246
BANGLADESH,390,292,389,289,371,275,417,314
