Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,179,0,0,0,24,0,250,24,0,250
2,Barishal,0,0,560,0,0,0,347,0,560,347,579,560
3,Bhola,0,0,225,0,0,0,104,0,162,104,156,156
4,Jhallokati,0,0,201,0,0,0,47,0,204,47,238,204
5,Patuakhali,0,0,415,0,0,0,545,0,673,545,591,591
6,Pirojpur,0,0,152,0,0,0,215,0,290,215,2110,290
1,Barishal,0,0,1732,0,0,0,1282,0,2139,1282,1774,2139
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,8,0,0,0,20,0,27,20,22,27
9,Chandpur,0,0,24,0,0,0,170,0,163,170,105,163
10,Chattogram,0,0,1850,0,0,38,189,0,193,189,181,231
11,Cumilla,0,0,99,0,0,113,264,0,183,264,282,296
12,Cox's Bazar,1,0,628,6,0,257,67,0,340,73,74,597
13,Feni,0,1,28,0,6,5,46,0,43,46,45,48
14,Khagrachhari,0,0,24,0,0,0,26,26,22,26,19,22
15,Laksmipur,0,0,0,0,0,0,38,38,43,38,42,43
16,Noakhali,0,0,70,0,0,0,271,271,252,271,278,252
17,Rangamati,7,0,104,55,0,92,326,326,266,381,369,358
2,Chattogram,8,7,2835,61,55,505,1417,661,1532,1478,1417,2037
18,Dhaka,0,8,17,0,61,0,137,0,108,137,151,108
19,Faridpur,0,0,33,0,0,295,408,0,80,408,375,375
20,Gazipur,0,0,9,0,0,34,91,0,31,91,101,65
21,Gopalganj,0,0,227,0,0,306,534,0,273,534,578,579
22,Kishorganj,0,0,3,0,0,0,25,0,29,25,30,29
23,Madaripur,0,0,28,0,0,0,272,0,184,272,265,184
24,Manikganj,0,0,15,0,0,0,40,0,48,40,43,48
25,Munshiganj,0,0,5,0,0,0,32,0,25,32,25,25
26,Narayanganj,0,0,8,0,0,14,79,0,106,79,80,120
27,Narsingdi,0,0,45,0,0,0,64,0,813,64,45,813
28,Rajbari,0,0,30,0,0,139,161,0,109,161,247,248
29,Shariatpur,0,0,32,0,0,243,153,0,69,153,161,312
30,Tangail,0,0,5,0,0,51,33,33,19,33,34,70
3,Dhaka,0,0,457,0,0,1082,2029,33,1894,2029,2135,2976
31,Bagerhat,0,0,34,0,0,0,276,0,290,276,288,290
32,Chuadanga,0,0,13,0,0,0,35,0,41,35,38,41
33,Jashore,0,0,188,0,0,0,963,0,931,963,978,931
34,Jhenaidah,0,0,46,0,0,0,716,0,754,716,719,754
35,Khulna,0,0,86,0,0,0,578,0,607,578,585,607
36,Kushtia,0,0,23,0,0,0,404,0,368,404,371,368
