Station Jan. Feb. Mar. Apr. May June July Aug Sep. Oct. Nov. Dec.
Dinajpur 10.8 13.4 16.7 21.4 23.7 26.0 26.5 26.7 26.3 23.6 16.3 13.5
Rangpur 11.9 14.3 17.2 21.8 23.4 25.8 26.4 26.6 26.2 24.0 17.6 14.9
Rajshahi 11.0 13.6 18.5 23.2 24.7 26.3 26.2 26.9 26.6 24.3 17.4 14.6
Bogura 12.7 15.3 18.8 23.0 24.7 26.5 26.7 27.2 26.9 24.6 18.7 15.7
Mymensinghh 12.8 15.8 18.3 22.2 24.0 25.8 26.5 26.6 26.4 24.1 18.4 15.9
Sylhet 14.2 16.1 18.2 21.0 23.2 24.9 25.7 25.5 25.6 23.5 19.4 16.5
Srimangal 10.0 12.5 16.8 21.2 23.4 24.5 25.7 25.6 25.2 23.1 17.1 13.9
Ishurdi 11.1 14.0 18.6 23.2 25.1 26.2 26.3 26.8 26.5 24.5 17.9 14.6
Dhaka 14.8 17.5 20.3 23.9 25.9 26.5 26.4 26.7 26.8 24.8 20.5 17.0
Cumilla 13.0 16.6 19.6 23.2 25.4 25.7 26.0 26.2 26.1 24.3 20.2 16.7
Chandpur 14.1 16.7 19.9 24.2 26.0 26.2 26.2 26.7 26.5 24.9 20.4 17.1
Jeshore 11.2 14.7 19.2 24.2 25.8 26.2 26.2 26.9 26.6 24.5 17.5 13.5
Faridpur 12.2 15.3 19.6 23.6 25.5 26.1 26.3 26.7 26.4 24.6 18.9 15.5
Madaripur 11.7 15.2 19.4 23.7 25.2 25.8 26.1 26.2 26.2 24.4 18.8 15.4
Khulna 12.9 16.6 20.7 24.9 25.8 26.7 26.4 26.8 26.8 24.6 19.1 16.0
Satkhira 11.6 15.8 20.3 25.0 25.6 26.2 25.8 26.2 26.0 24.0 17.7 14.3
Barishal 12.0 15.7 20.1 24.4 25.8 26.4 26.2 26.5 26.0 24.4 18.7 15.4
Bhola 12.0 15.8 20.3 24.5 25.8 25.2 25.7 26.2 25.5 24.2 19.0 15.8
Feni 12.8 16.4 19.6 23.1 25.3 25.3 25.6 25.6 25.5 23.9 19.2 15.8
M.court 14.6 17.4 20.4 24.2 26.0 26.0 26.0 26.4 26.1 24.9 20.9 17.3
Hatiya 13.5 16.4 19.9 23.9 25.4 26.0 25.9 26.2 25.5 24.7 20.0 16.3
Sitakunda 12.1 15.4 19.3 23.4 25.5 25.5 25.6 25.6 25.3 23.8 19.1 15.0
Sandwip 13.3 16.5 19.8 23.9 25.8 25.7 25.7 25.7 25.3 24.4 20.3 16.0
Ambagan(Ctg) 15.0 17.7 20.4 23.8 26.0 25.4 25.6 25.7 25.5 24.6 20.9 17.3
Kutubdia 15.7 17.9 20.7 24.0 26.4 26.0 25.8 25.8 25.7 24.9 21.7 17.7
Cox's Bazar 16.5 18.5 20.6 24.1 26.2 25.6 25.3 25.5 25.3 24.8 22.5 18.6
Teknaf 14.2 16.0 21.1 24.1 26.4 26.5 25.8 25.9 26.0 26.1 23.9 17.8
Rangamati 12.5 15.1 17.8 22.7 24.4 23.5 24.3 24.3 24.0 23.6 20.1 16.1
Patuakhali 13.4 16.9 21.1 24.6 26.0 26.8 26.4 26.5 26.4 24.6 19.9 16.6
Khepupara 12.6 16.5 21.1 25.1 26.3 26.6 26.0 26.5 25.9 24.1 19.2 15.8
sydpur 11.4 13.7 16.6 21.2 23.3 25.6 26.2 26.5 26.2 23.4 16.9 14.0
Tangail 11.9 15.4 18.7 22.6 24.7 25.8 26.2 26.7 26.4 24.2 18.3 15.3
Mongla 14.2 17.7 21.6 25.5 26.4 27.1 26.7 26.6 26.4 24.6 20.0 16.9
chuadanga 10.5 13.9 19.0 23.9 24.9 26.4 26.2 26.6 26.6 24.2 17.1 14.0
Chattogram 15.3 17.9 20.7 24.0 26.5 25.7 25.7 26.0 25.9 24.7 21.8 17.8
