station name,Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,2019,59,63,61,69,73,78,82,79,80,78,74,74,72
Tangail,2019,74,71,66,75,77,81,82,79,***,***,***,***,***
Mymensingh,2019,74,75,72,78,80,84,84,81,***,***,***,***,***
Faridpur,2019,73,75,70,76,77,81,85,83,***,***,***,***,***
Madaripur,2019,77,74,73,76,78,83,85,83,***,***,***,***,***
Srimangal,2019,79,75,74,77,79,84,84,83,84,***,***,***,***
Bogra,2019,68,69,61,73,75,80,83,81,85,83,80,82,76
Dinajpur,2019,72,73,63,75,77,79,83,81,86,83,79,***,***
Ishurdi,2019,75,74,65,75,75,81,83,83,85,***,***,***,***
Rajshahi,2019,77,77,69,76,78,80,85,84,87,85,82,82,80
Rangpur,2019,73,75,67,74,79,80,83,80,86,83,80,***,***
Sayedpur,2019,72,73,65,73,77,79,82,78,85,81,77,79,76
Chuadanga,2018,76,75,68,75,77,81,85,85,87,86,82,83,80
Jessore,2019,72,72,70,73,74,77,80,82,***,***,***,***,***
Khulna,2019,74,72,72,73,76,81,85,84,***,***,***,***,***
Mongla,2019,71,71,72,76,77,83,86,86,88,85,83,***,***
Satkhira,2019,75,75,74,74,75,79,81,85,***,***,***,***,***
Barisal,2019,78,77,74,77,79,83,88,84,87,86,***,***,***
Bhola,2019,77,78,74,76,79,82,88,85,87,86,85,84,81
Khepupara,2019,74,74,76,77,79,84,87,86,88,86,85,81,81
Patuakhali,2019,75,75,74,77,80,85,89,88,***,***,***,***,***
Chandpur,2019,71,72,70,74,78,83,87,84,84,82,***,***,***
Teknaf,2019,72,70,70,72,73,82,88,***,***,***,***,***,***
Ambagan(Ctg),2019,72,67,68,74,78,80,86,83,84,83,81,78,77
Comilla,2019,72,74,74,77,79,82,84,83,83,82,***,***,***
Feni,2019,69,70,70,72,75,80,85,82,83,***,***,***,***
Hatiya,2019,79,81,80,81,83,85,91,89,89,***,***,***,***
Kutubdia,2019,73,77,79,78,79,81,87,83,84,83,79,76,79
M.court,2019,71,74,74,76,78,83,87,85,86,84,***,***,***
Rangamati,2019,74,71,68,69,71,77,83,79,80,81,79,79,75
Sandwip,2019,76,76,76,77,80,83,89,87,***,***,***,***,***
Chittagong,2019,69,70,70,74,78,81,89,83,85,***,***,***,***
Sitakunda,2019,72,73,72,78,80,81,87,85,85,***,***,***,***
Dhaka,2019,59,63,61,69,73,78,82,79,80,78,74,74,72
Tangail,2019,74,71,66,75,77,81,82,79,***,***,***,***,***
