(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
15,Rice Aus :,Coarse,"3,675","3,675","3,950",-,-,-,-,-,"2,906","2,961","2,901","2,844","3,273"
16,Rice Boro :,Fine,"5,594",-,"5,718","5,653","5,273","5,109","5,119","5,065","5,046","4,941","4,833","4,719","5,188"
17,",,",Medium,"4,643","4,710","4,781","4,587","4,177","4,072","4,080","3,998","3,946","3,818","3,736","3,651","4,183"
18,Rice Boro :,Coarse,"3,816","3,795","3,812","3,614","3,478","3,445","3,477","3,419","3,376","3,247","3,125","3,025","3,469"
19,",,",Pajam,"4,621",-,"3,775","4,738","4,454","4,775","4,839","4,876","4,735","4,785","4,750","4,970","4,665"
20,Rice O. M. S,Coarse,"3,399","3,433","3,413","3,380","3,401","3,252","3,338","3,313","3,307","3,235","3,163","3,071","3,309"
21,Rice Aromatic,Chinigura,"7,893","7,933","7,902","7,947","7,947","8,015","8,072","8,159","8,175","8,206","8,207","8,178","8,053"
22,,Kalojira,"7,518","7,534","7,492","7,515","7,540","7,621","7,671","7,656","7,736","7,768","7,802","7,800","7,638"
23,"Rice Aromatic
Wheat :
,,",Kataribhog,"6,337","6,438","6,429","6,430","6,429","6,542","6,377","6,480","6,487","6,476","6,427","6,290","6,428"
24,,Red,"2,346","2,351","2,425","2,216","2,258","2,286","2,291","2,314","2,387","2,426","2,440","2,386","2,344"
25,,White,"2,372","2,331","2,268","2,190","2,212","2,231","2,234","2,264","2,338","2,381","2,416","2,479","2,310"
26,Ata :,Loose,"2,376","2,337","2,325","2,315","2,302","2,294","2,281","2,305","2,398","2,403","2,436","2,502","2,356"
27,",,",Packet,"2,995","2,985","2,966","2,960","2,953","2,958","2,956","2,960","2,986","2,986","2,982","2,993","2,973"
28,Flour :,Loose,"3,113","3,101","3,107","3,102","3,106","3,096","3,095","3,085","3,127","3,138","3,139","3,174","3,115"
29,",,",Packet,"3,985","3,962","3,986","3,974","3,996","4,002","3,997","3,968","4,006","4,013","4,028","4,041","3,996"
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
30,Maize,,"1,913","1,968","2,019","1,989","1,867","1,808","1,752","1,742","1,814","1,793","1,834","1,860","1,863"
31,Pulses :,Mash,"5,550","5,595","5,641","5,572","5,547","5,314","5,325","5,304","5,338","5,310","5,291","5,598","5,449"
32,",,",Masur,"5,062","5,311","5,230","5,322","5,313","5,142","5,009","4,946","4,990","4,873","4,871","4,770","5,070"
33,",,",Mugh,"7,318","6,639","7,319","7,269","6,859","6,429","6,017","6,435","6,706","6,655","6,806","6,807","6,772"
34,",,",Gram,"7,745","7,595","7,433","7,140","6,391","5,892","5,840","5,753","5,804","5,874","6,126","6,333","6,494"
35,",,",Motor Local,"4,207","4,097","4,996","3,379","3,454","3,244","3,202","3,054","3,007","2,957","2,935","2,810","3,445"
36,",,",Motor Import,"4,207","4,097","4,996","3,379","3,454","3,244","3,202","3,054","3,007","2,957","2,935","2,810","3,445"
37,",,",Khesari,"3,171","3,120","2,959","3,093","3,110","3,048","3,026","2,965","2,982","2,963","3,350","3,035","3,069"
38,Dall :,Mash Gota,"7,911","7,921","7,805","7,632","7,647","7,461","7,438","7,181","7,135","7,119","6,985","6,930","7,430"
39,",,",",, Broken","7,807","7,689","7,667","7,653","7,665","7,397","7,427","7,313","7,221","7,088","7,005","7,038","7,414"
40,",,","Masur Local
Gota","8,540","8,506","8,580","8,357","8,354","8,168","8,257","8,224","8,198","7,999","8,117","8,070","8,281"
41,",,",",, Broken","6,626","6,636","6,565","6,526","6,466","6,387","6,308","6,263","6,268","6,222","6,115","6,026","6,367"
42,",,",",, Import","7,559","7,751","7,709","7,491","7,543","7,415","7,411","7,579","7,400","7,111","7,244","7,204","7,451"
43,",,",Mugh Local,"11,372","11,904","11,949","11,798","11,672","11,103","10,663","10,056","9,777","9,766","9,689","9,652","10,783"
44,",,",Gram Gota,"8,375","8,490","8,351","7,980","7,558","7,161","7,171","7,019","6,892","6,821","6,945","7,084","7,487"
45,",,",",, Broken","8,361","8,198","8,055","7,819","7,407","7,211","6,838","6,850","6,812","6,840","6,860","7,058","7,359"
46,Dall :,Motor Local,"7,106","8,008","7,427","6,181","5,871","5,788","5,697","5,203","5,339","5,009","4,883","4,830","5,945"
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
47,",,",",, Import","3,257","3,211","3,240","3,324","3,533","3,360","3,395","3,300","3,238","3,219","3,229","3,314",
,,,,,,,,,,,,,,,"3,302"
