Name of Crops,2016-17,,2017-18,,2018-19,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
1,2,3,4,5,6,7
Sugarcane,227389,3862775,222784,3638731,200312,3141923
Date-Palm(Juice),5132,169056,68693,180865,63261,165651
Date-Plam(Fruits),311,38939,92333,36974,55540,35343
Ripe Palmyra (Tal),98,161104,6326324,159900,82998,134831
"Green Palmyra
(Taler shas)",396,71119,48879,74372,50202,104190
Palmyra (Juice),196,89721,33036,91216,7505,49290
Total-,233522,4392714,6792049,4182058,459818,3631228
