District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,400,0,418,0,0,0,420,0
Jhalokathi,390,0,0,0,0,0,390,0
Perojpur,400,340,0,0,0,0,400,0
Bhola,390,0,0,0,0,0,390,0
Patuakhali,380,0,0,0,0,0,400,0
Barguna,380,0,0,0,0,0,410,350
Barisal Division,390,340,418,0,0,0,402,350
Jashore,0,0,0,0,0,0,267,193
Jhenaidah,316,291,299,279,288,268,350,318
Magura,320,0,316,0,264,0,360,0
Narail,319,0,302,0,290,0,399,335
Khulna,0,0,0,0,0,0,456,331
Bagerhat,345,280,320,270,310,250,382,300
Satkhira,0,0,0,0,0,0,287,227
Kushtia,355,0,320,0,280,0,396,0
Chuadanga,225,0,0,0,0,0,268,0
Meherpur,250,0,0,0,0,0,270,0
Khulna Division,304,286,311,274,286,259,343,284
Rajshahi,318,244,304,230,0,0,336,251
Naogaon,313,223,305,205,279,192,326,243
Natore,0,0,0,0,0,0,340,256
Chapai Nawabganj,358,300,350,290,320,280,384,325
Bogra,0,0,0,0,339,248,420,280
Joypurhat,300,250,0,0,280,230,320,280
Pabna,357,225,348,200,347,0,388,235
Sirajganj,0,0,300,0,0,0,304,250
Rajshahi Division,329,248,321,231,313,238,352,265
Rangpur,300,230,0,0,0,0,320,250
Gaibandha,0,0,0,0,0,0,280,192
Kurigram,305,190,0,0,0,0,330,250
Nilphamari,338,224,263,190,0,0,386,250
Lalmonirhat,297,196,0,0,0,0,324,250
Dinajpur,296,280,288,260,0,0,303,293
Thakurgaon,292,262,0,0,0,0,299,277
Panchagarh,318,230,0,0,0,0,377,270
Rangpur Division,307,230,276,225,0,0,327,254
BANGLADESH,361,289,348,263,283,251,389,306
