District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,400,0,0,0,0,0,400,0
Jhalokathi,400,0,0,0,0,0,400,0
Perojpur,400,340,0,0,0,0,420,350
Bhola,390,0,0,0,0,0,400,0
Patuakhali,390,0,0,0,0,0,400,0
Barguna,380,0,0,0,0,0,390,0
Barisal Division,393,340,0,0,0,0,402,350
Jashore,0,0,0,0,0,0,265,192
Jhenaidah,332,236,330,229,314,213,366,259
Magura,320,0,296,0,264,0,360,0
Narail,334,0,326,0,302,0,365,302
Khulna,0,0,0,0,0,0,462,402
Bagerhat,344,280,325,250,300,220,379,313
Satkhira,0,0,0,0,0,0,398,330
Kushtia,350,0,320,0,280,0,395,0
Chuadanga,225,0,0,0,0,0,268,0
Meherpur,247,0,0,0,0,0,277,0
Khulna Division,307,258,319,240,292,217,353,300
Rajshahi,304,246,289,248,0,0,338,265
Naogaon,323,268,319,261,302,253,357,276
,0,0,0,0,0,0,340,256
,318,300,300,280,295,250,384,375
,0,0,0,0,344,256,425,300
Joypurhat,300,250,0,0,280,250,320,280
Pabna,417,244,308,215,298,0,417,294
Sirajganj,323,0,0,0,0,0,356,270
Rajshahi Division,331,261,304,251,304,252,367,290
Rangpur,325,200,0,0,0,0,350,280
Gaibandha,0,0,0,0,0,0,265,194
Kurigram,305,190,0,0,0,0,320,224
Nilphamari,314,208,0,0,0,0,344,278
Lalmonirhat,297,199,0,0,0,0,313,217
Dinajpur,302,277,300,260,250,0,326,298
Thakurgaon,292,262,0,0,0,0,390,287
Panchagarh,317,229,0,0,0,0,356,289
Rangpur Division,307,224,300,260,250,0,333,258
BANGLADESH,359,282,344,270,321,244,392,313
