Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,103341,41820,28.17,2.599,108679,131780,53328,24.92,2.298,122564
2,Barishal,42678,17271,19.61,1.809,31237,53796,21770,19.04,1.757,38239
3,Bhola,214491,86800,21.74,2.005,174068,209401,84740,22.02,2.031,172102
4,Jhalakathi,33002,13355,24.84,2.291,30595,34909,14127,26.31,2.426,34279
5,Patuakhali,70992,28729,24.94,2.301,66094,75057,30374,24.14,2.226,67620
6,Pirojpur,36634,14825,24.31,2.243,33248,42670,17268,24.72,2.280,39368
1,"Barishal
Division",501139,202800,23.73,2.189,443921,547613,221607,23.20,2.140,474172
7,Bandarban,29920,12108,20.03,1.847,22366,31498,12747,20.13,1.857,23672
8,Brahmanbaria,20053,8115,27.48,2.535,20573,21312,8624,26.39,2.434,20992
9,Chandpur,24600,9955,27.75,2.560,25483,24152,9774,29.16,2.689,26286
10,Chattogram,87793,35528,28.23,2.604,92506,89102,36058,29.34,2.706,97581
11,Cumilla,174954,70800,28.44,2.623,185718,175597,71060,29.20,2.693,191367
12,Cox' Bazar,8827,3572,28.95,2.670,9537,7861,3181,30.50,2.813,8950
13,Feni,20908,8461,24.68,2.276,19259,29258,11840,25.73,2.373,28102
14,Khagrachari,10655,4312,25.32,2.336,10071,9952,4027,25.75,2.376,9567
15,Laksmipur,69586,28160,26.85,2.477,69747,68036,27533,26.49,2.444,67283
16,Noakhali,92224,37321,26.18,2.415,90132,95096,38483,24.88,2.295,88331
17,Rangamati,15864,6420,14.62,1.349,8660,15814,6400,16.57,1.528,9781
2,"Chattogram
Division",555385,224752,26.73,2.465,554052,567678,229727,26.99,2.490,571912
18,Dhaka,1846,747,29.26,2.699,2016,1201,486,24.50,2.260,1098
19,Faridpur,16260,6580,16.79,1.549,10192,30377,12293,14.00,1.291,15869
20,Gazipur,3351,1356,29.81,2.750,3729,3293,1333,31.84,2.937,3914
21,Gopalgonj,8291,3355,16.19,1.493,5010,7588,3071,16.82,1.552,4765
22,Kishoregonj,59640,24135,29.25,2.698,65112,32770,13261,27.95,2.578,34193
23,Madaripur,3768,1525,15.43,1.424,2171,3465,1402,13.98,1.290,1808
24,Manikgonj,3514,1422,19.20,1.771,2519,4529,1833,18.65,1.721,3153
25,Munsigonj,232,94,27.68,2.553,240,306,124,30.70,2.832,351
26,Narayanganj,1705,690,28.74,2.651,1829,2965,1200,15.42,1.422,1707
27,Narsingdi,818,331,26.86,2.477,820,1174,475,29.24,2.697,1281
28,Rajbari,3237,1310,13.67,1.261,1652,3096,1253,14.13,1.303,1633
29,Shariatpur,22685,9180,18.59,1.715,15742,21406,8663,18.38,1.695,14686
30,Tangail,2068,837,17.67,1.630,1364,2210,894,18.41,1.698,1519
3,"Dhaka
Division",127415,51562,23.63,2.180,112396,114380,46287,20.14,1.857,85977
31,Bagerhat,14295,5785,26.79,2.471,14297,11669,4722,26.75,2.467,11650
32,Chuadanga,94890,38400,31.60,2.914,111916,93348,37776,31.45,2.901,109585
