SL:,Name of crops,2014-15,2015-16,2016-17,2017-18,2018-19
1,2,3,4,5,6,7
1,Paddy-boro-fine,-,-,-,-,2290
2,Paddy-boro-medium,-,-,-,-,1914
3,Paddy-boro-Coarse,-,-,-,-,1664
4,Paddy-Aman-fine,-,-,-,-,2071
5,Paddy-Aman-medium,-,-,-,-,1759
6,Paddy-Aman-coarse,-,-,-,-,1658
7,Paddy-Aus-fine,-,-,-,-,1699
8,Paddy-Aus-medium,-,-,-,-,1599
9,Paddy-Aus-coarse,-,-,-,-,1606
10,Rice-Boro-fine,-,-,-,-,4555
11,Rice-boro medium,-,-,-,-,3848
12,Rice-boro coarse,-,-,-,-,3074
13,Rice-Aman-fine,-,-,-,-,4332
14,Rice-Aman-medium,-,-,-,-,3478
15,Rice-Aman-coarse,-,-,-,-,2912
16,Rice-Aus-fine,-,-,-,-,-
17,Rice-Aus-fine,-,-,-,-,-
18,Rice-Aus-fine,-,-,-,-,-
19,Rice-fragrant-Kalijira,-,-,-,-,7173
20,Rice-fragrant-chinigura,-,-,-,-,7217
21,Rice-fragrant-Kataribhog,-,-,-,-,6469
22,Wheat-red,-,-,-,-,2156
23,Wheat-normal white,-,-,-,-,2335
24,Maize,-,-,-,-,1687
25,Jute- white,-,-,-,-,4392
26,Jute- Tosha,-,-,-,-,4522
27,Jute- Mesta,-,-,-,-,4028
28,Cotton-Carpas,-,-,-,-,-
29,Cotton-Shimul,-,-,-,-,2300
30,Tobacco-heat filter,-,-,-,-,-
31,Tobacco-Air filter,-,-,-,-,-
32,Tobacco-Barli,-,-,-,-,-
33,Tobacco-local Motihar,-,-,-,-,8000
34,Tobacco-Jati,-,-,-,-,6444
35,Tobacco-talik,-,-,-,-,-
36,-Dal-kalai-Mash,-,-,-,-,4829
37,Dal-kalai-Masur,-,-,-,-,5541
38,Dal-kalai-Mung,-,-,-,-,5972
39,Dal-kalai-Gram,-,-,-,-,5901
40,Dal-kalai-Motor,-,-,-,-,3630
41,Dal-kalai- Kheshari,-,-,-,-,3196
42,Oilseed-Mustard,-,-,-,-,4884
43,Oilseeds-Soyabean,-,-,-,-,3222
44,Oilseed-Lin seeds,-,-,-,-,4738
45,Oilseed-Til,-,-,-,-,4840
46,Oilseed-Groundnut,-,-,-,-,6569
47,Potato-local,-,-,-,-,1827
48,Potato-Holland white,-,-,-,-,1476
49,Potato-Holland red,-,-,-,-,1551
50,Vegetable-brinjal,-,-,-,-,2120
51,Ladys Finger,-,-,-,-,2408
52,Beans,-,-,-,-,2192
53,Barbati,-,-,-,-,2554
54,Radish,-,-,-,-,1042
55,Tomato,-,-,-,-,2127
56,Carrot,-,-,-,-,2368
57,Danta,-,-,-,-,1281
58,Cauliflower,-,-,-,-,1872
59,Cabbage,-,-,-,-,1176
60,Oalkopy,-,-,-,-,1330
61,Jhinga,-,-,-,-,2494
62,Chichinga,-,-,-,-,2156
63,Cucumber,-,-,-,-,1955
64,karala,-,-,-,-,2978
65,Utchee,-,-,-,-,3595
66,Pumpkin,-,-,-,-,1531
67,Patal,-,-,-,-,2479
68,Khirai,-,-,-,-,1629
69,Dhundul,-,-,-,-,1815
70,Mukhikachu,-,-,-,-,2284
71,Green papaya,-,-,-,-,1350
72,Kachur lati,-,-,-,-,2393
73,Motor shuti,-,-,-,-,3117
74,Red amaranth,-,-,-,-,1328
75,Spinach,-,-,-,-,1323
76,Indian spinach,-,-,-,-,1082
77,Mula shak,-,-,-,-,832
78,S.Potato,-,-,-,-,1804
79,Green Banana (80 piece),-,-,-,-,294
80,Pani kachu,-,-,-,-,1943
81,Chalkumra,-,-,-,-,-
82,Watergourd,-,-,-,-,1496
83,Duck/hen-live local,-,-,-,-,33095
84,Farm(Broilar),-,-,-,-,12082
85,Duck live,-,-,-,-,25109
86,Egg-hen-local,-,-,-,-,975
87,Egg-hen-Farm red (100),-,-,-,-,724
88,Egg-hen-farm-white(100),-,-,-,-,720
89,Egg-duck-local(100),-,-,-,-,943
90,Fruits-Orange(100),-,-,-,-,1034
91,Jackfruit(100),-,-,-,-,5827
92,Bel(100),-,-,-,-,2165
93,Woodapple(Kadbel) (100),-,-,-,-,1497
94,Palmyra palm(Tal) (100),-,-,-,-,1644
95,Melon(100),-,-,-,-,12190
96,Green Coconut(100),-,-,-,-,2408
97,Water melon(100),-,-,-,-,2792
98,Litchi(100),-,-,-,-,188
99,Coconut(100),-,-,-,-,2401
100,Pineapple-Joldobe(100),-,-,-,-,1321
101,Pineapple-Calender(100),-,-,-,-,2571
102,"Batabi lebu(Jambura)
(100)",-,-,-,-,1564
103,Lemon kagozi(100),-,-,-,-,288
104,"Ripe Banana-
Chanpa(100)",-,-,-,-,200
105,Ripe Banana-Sagor(100),-,-,-,-,285
106,Ripe Banana-Sabri(100),-,-,-,-,360
107,Grapes,-,-,-,-,-
108,Tamarind,-,-,-,-,9574
109,Guava,-,-,-,-,2919
110,Black berry,-,-,-,-,8250
111,Hog palm(amra),-,-,-,-,2023
112,Kul(boroi),-,-,-,-,3689
113,Amloki,-,-,-,-,9394
114,Kamranga,-,-,-,-,1858
115,Lotkon,-,-,-,-,4638
116,Safeda,-,-,-,-,5167
117,Ripe papaya,-,-,-,-,3467
118,Mango-Guti,-,-,-,-,2859
119,Mango-Amrupali,-,-,-,-,4252
120,Mango-Langra,-,-,-,-,3793
121,Mango-Khirsapati,-,-,-,-,4550
122,Mango-Fazli,-,-,-,-,4259
123,Mango-Himsagor,-,-,-,-,4255
124,Mango-Gopalbhog,-,-,-,-,3883
125,Mango-Aswini,-,-,-,-,3061
126,Spices- Onion,-,-,-,-,2542
127,Garlic,-,-,-,-,4032
128,Zinger,-,-,-,-,9329
129,Turmeric,-,-,-,-,11302
130,Chillies (dry),-,-,-,-,14626
131,Chillies (green),-,-,-,-,3907
132,Corriander Seeds,-,-,-,-,8083
133,Cassia leaf,-,-,-,-,-
134,Cinnamon,-,-,-,-,-
135,Cumin,-,-,-,-,32591
136,Fennel flower(Kalojira),-,-,-,-,14525
137,Dry fish-Rupchanda,-,-,-,-,-
138,Loitta,-,-,-,-,-
139,Punti,-,-,-,-,-
140,Prawn,-,-,-,-,-
141,Salted Hilsa,-,-,-,-,-
142,Fish-fresh-Rui,-,-,-,-,22030
143,Mrigel,-,-,-,-,14299
144,Katol,-,-,-,-,20095
145,Boal,-,-,-,-,56447
146,Hilsa,-,-,-,-,43189
147,koi,-,-,-,-,14857
148,Cat fish (shing),-,-,-,-,45364
149,Magur,-,-,-,-,49318
150,Telapia,-,-,-,-,11068
151,Sarpunti,-,-,-,-,11441
152,Pangus,-,-,-,-,9798
153,Shole,-,-,-,-,45484
154,Grasscarp,-,-,-,-,13390
155,Siver carp,-,-,-,-,11445
156,Mola,-,-,-,-,21946
157,Aire,-,-,-,-,-
158,Shrimp-Galda,-,-,-,-,47500
159,Small prawn,-,-,-,-,34280
160,Others-Betel nut,-,-,-,-,27209
161,Gur-Sugarcane,-,-,-,-,6552
162,Gur-dates,-,-,-,-,8162
163,Muri,-,-,-,-,5617
164,Chira,-,-,-,-,4030
165,Betel leaves(6400 Gadi),-,-,-,-,5754
