Crop,2016-17,,,2017-18,,,2018-19,,
,"Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons","Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons","Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons"
OIL SEEDS (Edible),,,,,,,,,
Til,93,365,34,93,376,35,85,374,32
Rape & Mustard,831,437,363,760,463,352,667,467,312
Groundnut,91,725,66,94,710,67,87,721,63
Soyabean,155,624,97,147,672,99,154,718,111
Lin Seeds,13,314,4,14,321,4,13,279,4
Coconut,10,52,409,10,59,467,89,55,432
Sunflower,,,,,,,3,620,2
Total Oil Seeds,1197,815,975,1122,915,1026,1098,870,954
SPICES & CONDIMENTS,,,,,,,,,
"Chillies, Kharif",44,713,31,46,564,36,44,989,43
"Chillies, Rabi",212,499,106,204,516,105,195,543,106
Total Chillies,256,535,137,250,786,141,239,625,149
Onion,459,4067,1866,441,3439,1737,426,4231,1803
Garlic,164,2598,425,176,2618,462,177,2631,466
Turmeric,63,2288,144,64,2360,150,70,2117,147
Ginger,23,3369,77,24,3345,79,24,3379,80
Coriander Seeds,44,382,17,42,393,17,50,386,19
Coriander,0,0,0,0,0,0,7,744,5
Cassia Leaf,0,0,0,0,0,0,1,10,1
Capsicum,0,0,0,0,0,0,0.008,1375,0.011
Methi,0,0,0,0,0,0,0.369,501,0.185
Mint,0,0,0,0,0,0,0.009,1000,0.009
Total Spices & Condiments,1008,2646,2667,997,2595,2587,995,2686,2673
SUGAR CROPS,,,,,,,,,
Sugar Cane,227,16988,3862,223,16333,3639,200,15685,3142
Date Palm(juice),5,52,169,69,56,181,63,52,166
Date Palm(Fruits),.311,12,39,92,12,37,56,9,35
Palmyra Palm(Juice),.196,121,90,33,119,91,8,67,49
G. PalmyraPalm(Talsas),.396,65,71,49,70,74,50,99,104
Ripe Tal,.098,107,161,1,106,160,83,107,135
Total Sugar Crops,232,1893,4392,464,901,4182,460,789,3631
FIBRES,,,,,,,,,
Jute (bales),1823,4.52,8247,1873,4.75,8895,1852,4.63,8576
Cotton (rabi & kharif),32,968,31,32,951,31,31,618,19
"Sunhemp (Shan pat), Bhadoi",.023,.026,.052,0.083,4.33,.360,0,0,0
"Sunhemp, Rabi",0.091,0.80,.073,23,32,27,0.77,753,0.58
Simul Cotton,0.006,2,12,20,.32,17,18,0.101,9
