District name,October-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,421,264
Khagrachari,350,200,0,0,0,0,373,258
Rangamati,369,281,319,231,0,0,425,317
Chattogram,483,357,462,350,450,300,500,370
Coxbazar,500,338,460,331,367,300,520,375
Cumilla,430,360,406,340,363,325,442,417
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,350,300,330,300,260,227,398,300
Noakhali,455,0,433,0,420,0,507,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,598,0,480,0
Chattogram Division,420,306,402,310,410,288,439,329
Sylhet,388,300,372,280,0,0,415,350
Moulvibazar,384,312,370,300,0,0,413,341
Sunamganj,400,355,0,0,0,0,427,377
Habiganj,425,300,0,0,0,0,381,315
Sylhet Division,399,317,371,290,0,0,409,346
Dhaka,455,0,445,0,400,0,475,360
Gazipur,412,345,0,0,379,298,482,352
Manikganj,460,350,435,0,410,0,480,365
Munshiganj,0,300,0,250,373,0,439,0
Narayanganj,465,405,437,360,395,330,480,425
Narsingdi,0,0,375,250,324,0,455,300
Faridpur,394,0,0,0,450,0,453,0
Rajbari,400,350,367,300,317,300,480,400
Madaripur,416,300,0,0,375,250,450,350
Gopalganj,480,0,464,0,459,0,500,355
Shariatpur,320,250,0,0,0,0,360,294
Tangail,300,0,373,0,400,0,451,400
Kishoreganj,0,0,378,0,355,0,424,0
Dhaka Division,410,329,409,290,386,295,456,360
Mymensingh,349,0,385,0,416,0,425,0
Jamalpur,420,0,407,0,378,0,458,0
Sherpur,445,0,424,0,400,0,467,0
Netrokona,433,220,386,200,347,0,455,255
"Mymensingh
Division",412,220,401,200,385,0,451,255
