District name,January-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,264
Khagrachari,346,220,0,0,0,0,400,250
Rangamati,325,238,275,220,0,0,405,283
Chattogram,414,303,397,315,380,320,440,328
Coxbazar,500,338,462,331,367,250,590,375
Cumilla,414,410,407,400,400,367,450,367
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,354,280,300,0,252,0,400,306
Noakhali,488,0,450,0,430,0,537,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,480,0,598,0
Chattogram Division,406,298,382,317,385,312,458,318
Sylhet,400,300,368,273,347,0,450,350
Moulvibazar,340,250,330,240,0,0,400,300
Sunamganj,345,245,0,0,0,0,370,275
Habiganj,366,275,0,0,0,0,387,280
Sylhet Division,363,268,349,257,347,0,402,301
Dhaka,451,420,433,445,425,470,500,450
Gazipur,470,345,0,0,378,267,480,350
Manikganj,380,267,362,250,327,200,400,350
Munshiganj,406,0,0,0,438,0,472,375
Narayanganj,455,400,435,387,390,360,480,336
Narsingdi,0,0,408,300,340,0,450,0
Faridpur,400,300,358,0,0,0,460,0
Rajbari,410,250,400,230,392,220,420,300
Madaripur,375,300,0,0,355,250,420,350
Gopalganj,440,0,425,0,415,0,457,300
Shariatpur,300,0,0,0,0,0,352,284
Tangail,403,0,378,0,370,0,434,300
Kishoreganj,0,0,389,310,385,0,451,350
Dhaka Division,408,326,399,320,383,295,444,340
Mymensingh,550,0,500,0,470,0,600,0
Jamalpur,415,250,370,220,327,200,491,270
Sherpur,443,0,430,0,427,0,457,0
Netrokona,400,240,380,230,0,0,420,250
Mymensingh Division,452,245,420,225,408,200,492,260
