"Sl.
No.",Species,Jamuna,,,,,,,,Brahmaputra,,,,Total,"Grand
Total"
,,"j
n
a
g
k
in
a
M","a
n
b
a
P","lia
g
n
a
T","j
n
a
g
j
a
r
iS","a
r
u
g
o
B","r
u
p
la
m
a
J","a
h
d
n
a
b
ia
G","Sub-
Total","r
u
p
la
m
a
J","a
h
d
n
a
b
ia
G","m
a
r
g
ir
u
K","Sub-
Total",,
1,Rui,17,14,37,32,12,61,15,188,102,38,57,197,385,1279
2,Catla,8,9,22,40,5,35,5,124,75,37,44,156,280,847
3,Mrigal,7,6,25,39,4,21,5,107,74,30,37,141,248,659
4,Kalibaus,5,0,16,5,0,9,0,35,30,33,26,89,124,258
5,Bata,0,5,0,4,0,0,0,9,0,0,0,0,9,1338
6,Gonia,0,0,0,0,0,0,0,0,0,0,0,0,0,15
7,Pangas,0,0,0,0,0,0,0,0,0,0,0,0,0,694
8,Boal/Aire,62,49,80,6,13,42,21,273,150,150,120,420,693,1640
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,180
13,Other Inland Fish,574,834,630,1978,58,349,104,4527,1268,790,2636,4694,9221,26315
14,Hilsa/Ilish,0,50,37,146,1,101,5,340,8,8,190,206,546,185299
15,Galda,0,4,7,0,6,0,0,17,40,31,0,71,88,637
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Other small shrimp/prawn,85,61,82,51,31,43,58,411,338,260,199,797,1208,2483
Total,,758,1032,936,2301,130,661,213,6031,2085,1377,3309,6771,12802,221644
