Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,13,0,0,0,0,0,8,0,0,8
39,Narail,0,0,9,0,0,4,0,0,5,0,0,9
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna,0,0,137,0,0,4,0,0,217,0,0,221
41,Jamalpur,0,0,0,0,0,0,0,0,11,0,0,11
42,Mymensing,0,0,13,0,0,0,0,0,8,0,0,8
43,Netrakona,0,0,19,0,0,0,0,0,24,0,0,24
44,Sherpur,0,0,14,0,0,0,0,0,3,0,0,3
5,Mymensing,0,0,4,0,0,0,0,0,46,0,0,46
45,Bogura,0,0,6,0,0,0,0,0,7,0,0,7
46,Joypurhat,0,0,26,0,0,0,0,0,19,0,0,19
47,Naogaon,0,0,11,0,0,0,0,0,810,0,0,810
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,34,0,0,0,0,0,43,0,0,43
50,Pabna,0,0,11,0,0,0,0,0,10,0,0,10
51,Rajshahi,0,0,96,0,0,0,0,0,70,0,0,70
52,Sirajganj,0,0,14,0,0,0,0,0,8,0,0,8
6,Rajshahi,0,0,198,0,0,0,0,0,967,0,0,967
53,Dinajpur,0,0,38,0,0,0,0,0,58,0,0,58
54,Gaibandha,0,0,23,0,0,0,0,0,17,0,0,17
55,Kurigram,0,0,17,0,0,0,0,0,34,0,0,34
56,Lalmonirhat,0,0,37,0,0,0,0,0,20,0,0,20
57,Nilphamari,0,0,19,0,0,0,0,0,21,0,0,21
58,Panchagarh,0,0,10,0,0,0,0,0,12,0,0,12
59,Rangpur,0,0,15,0,0,0,0,0,23,0,0,23
60,Thakurgaon,0,0,30,0,0,0,0,0,38,0,0,38
7,Rangpur,0,0,189,0,0,0,0,0,223,0,0,223
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
,BANGLADESH,0,0,1005,0,0,24,0,0,2697,0,0,2721
