Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,237,96,81.30,7.499,719,719,291,81.30,7.499,2182
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Khulna,0,0,0.00,0,0,0,0,0.00,0.000,0
36,Kustia,0,0,0.00,0,0,0,0,0.00,0.000,0
37,Magura,0,0,0.00,0,0,0,0,0.00,0.000,0
38,Meherpur,0,0,0.00,0,0,0,0,0.00,0.000,0
39,Narail,0,0,0.00,0,0,0,0,0.00,0.000,0
40,Satkhira,515,208,82.05,7.568,1577,1577,638,71.45,6.591,4206
4,Khulna Division,752,304,81.795,15.0673,2296,2296,929,74.53,6.875,6388
41,Jamalpur.,1169,473,103.95,9.588,4536,1056,427,101.06,9.322,3983
42,Mymensinghh,7633,3089,100.85,9.302,28734,7251,2934,97.45,8.989,26374
43,Netrokona,3069,1242,88.04,8.121,10086,2565,1038,84.60,7.803,8100
44,Sherpur,2097,849,97.96,9.036,7668,2020,817,95.00,8.763,7163
5,"Mymensinghh
Division",13968,5653,97.86,9.027,51024,12892,5217,94.81,34.877,45621
45,Bogura,35729,14459,141.60,13.061,188848,36766,14878,149.43,13.783,205074
46,Joypurhat,14817,5996,141.23,13.027,78111,15021,6079,147.26,13.583,82568
47,Naogaon,26758,10828,145.19,13.392,145017,27315,11054,149.89,13.826,152829
48,Natore,49,20,142.63,13.156,261,312,126,141.56,13.057,1649
49,"Chapai
Nawabgonj",414,168,114.10,10.525,1763,222,90,115.26,10.632,955
50,Pabna,41,17,131.20,12.102,201,22,9,104.98,9.683,86
51,Rajshahi,3685,1491,126.26,11.646,17367,3505,1418,136.49,12.590,17857
52,Sirajgonj,642,260,121.21,11.180,2905,660,267,95.15,8.777,2344
6,"Rajshahi
Division",82135,33238,141.71,13.071,434472,83823,33921,148.09,13.660,463363
53,Dinajpur,16912,6844,148.99,13.743,94054,12504,5060,142.35,13.130,66441
54,Gaibandha,1647,667,150.23,13.857,9236,3117,1261,155.68,14.360,18113
55,Kurigram,950,384,161.25,14.874,5718,1129,457,136.20,12.563,5740
56,Lalmonirhat,269,109,152.26,14.044,1529,1526,618,126.36,11.655,7198
57,Nilphamari,4400,1781,112.52,10.379,18480,5080,2056,101.19,9.334,19188
58,Panchagar,1566,634,112.46,10.373,6574,1553,628,128.69,11.870,7460
59,Rangpur,14840,6005,128.15,11.821,70987,14923,6039,135.92,12.537,75712
60,Thakurgaon,4863,1968,120.90,11.152,21946,4631,1874,132.83,12.252,22961
7,"Rangpur
Division",45447,18391,134.71,12.426,228525,44463,17993,134.25,12.383,222813
61,Hobigonj,1799,728,89.76,8.279,6028,1574,637,88.44,8.158,5196
62,Maulovibazar,2699,1092,91.15,8.408,9183,3040,1230,104.56,9.645,11865
63,Sunamgonj,957,387,85.20,7.859,3044,943,382,88.81,8.192,3126
64,Sylhet,936,379,92.50,8.532,3232,445,180,87.21,8.044,1449
8,Sylhet Division,6391,2586,90.07,8.308,21486,6002,2429,369.02,8.908,21636
BANGLADESH,,180630,73097,129.57,11.951,873606,172569,69835,132.24,12.197,851802
