Zila/Division,,2017-18,,2018-19,
,,Area (acres),Production (M. Ton),Area (acres),Production(M. Ton)
1,Barguna,0,0,0,0
2,Barishal,0,0,0,0
3,Bhola,0,0,0,0
4,Jhallokati,0,0,0,0
5,Patuakhali,0,0,0,0
6,Pirojpur,0,0,0,0
1,Barishal,0,0,0,0
7,Bandarban,0,0,0,0
8,Brahmanbaria,0,0,0,0
9,Chandpur,0,0,0,0
10,Chattogram,0,0,0,0
11,Cumilla,0,0,0,0
12,Cox's Bazar,450,1178,369,499
13,Feni,0,0,0,0
14,Khagrachhari,0,0,0,0
15,Laksmipur,0,0,0,0
16,Noakhali,0,0,0,0
17,Rangamati,0,0,32,24
2,Chattogram,450,1178,401,523
18,Dhaka,0,0,0,0
19,Faridpur,126,70,139,87
20,Gazipur,145,77,99,33
21,Gopalganj,27,27,23,18
22,Kishorganj,215,82,229,83
23,Madaripur,32,48,32,48
24,Manikganj,0,0,0,0
25,Munshiganj,0,0,0,0
26,Narayanganj,9,4,6,3
27,Narsingdi,78,33,72,30
28,Rajbari,570,370,575,405
29,Shariatpur,0,0,4,2
30,Tangail,39,21,40,22
3,Dhaka,1241,732,1219,731
31,Bagerhat,8,4,0,0
32,Chuadanga,85,55,0,0
33,Jashore,0,0,0,0
34,Jhenaidah,20,11,0,0
35,Khulna,0,0,0,0
36,Kushtia,186,142,183,141
,,Area (acres),Production (M. Ton),Area (acres),Production(M. Ton)
37,Magura,25,37,0,0
38,Meherpur,0,0,0,0
39,Narail,207,174,125,85
40,Satkhira,0,0,0,0
4,Khulna,531,423,308,226
41,Jamalpur,0,0,0,0
42,Mymensing,74,38,0,0
43,Netrakona,0,0,0,0
44,Sherpur,0,0,0,0
5,Mymensing,74,38,0,0
45,Bogura,0,0,0,0
46,Joypurhat,0,0,0,0
47,Naogaon,133,94,145,105
48,Natore,109,79,112,81
49,"Chapai
Nawabganj",0,0,0,0
50,Pabna,692,648,685,644
51,Rajshahi,22,15,28,19
52,Sirajganj,141,95,150,100
6,Rajshahi,1097,931,1120,949
53,Dinajpur,31,18,32,19
54,Gaibandha,395,373,411,395
55,Kurigram,810,364,783,354
56,Lalmonirhat,1641,1240,577,382
57,Nilphamari,131,83,135,87
58,Panchagarh,5654,3789,5417,3579
59,Rangpur,90,60,115,89
60,Thakurgaon,47,20,55,23
7,Rangpur,8799,5947,7525,4928
61,Habiganj,134,80,135,85
62,Maulvibazar,23,11,23,11
63,Sunamganj,338,266,338,268
64,Sylhet,10,7,8,3
8,Sylhet,505,364,504,367
,BANGLADESH,12697,8965,11077,7724
