Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,0,111,0,0,0,0,0,335,0,0,335
38,Meherpur,0,0,23,0,0,0,0,0,30,0,0,30
39,Narail,0,0,13,0,0,20,0,0,8,0,0,28
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna,0,0,346,0,0,57,0,0,2768,0,0,2825
41,Jamalpur,0,0,65,0,0,0,0,0,62,0,0,62
42,Mymensing,0,0,97,0,0,0,0,0,205,0,0,205
43,Netrakona,0,0,0,0,0,0,0,0,93,0,0,93
44,Sherpur,0,0,22,0,0,0,0,0,66,0,0,66
5,Mymensing,0,0,184,0,0,0,0,0,426,0,0,426
45,Bogura,0,0,9,0,0,0,0,0,47,0,0,47
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,16,0,0,0,0,0,40,0,0,40
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,17,0,0,0,0,0,34,0,0,34
50,Pabna,0,0,0,0,0,0,0,0,107,0,0,107
51,Rajshahi,0,0,66,0,0,0,0,0,93,0,0,93
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi,0,0,108,0,0,0,0,0,321,0,0,321
53,Dinajpur,0,0,10,0,0,0,0,0,39,0,0,39
54,Gaibandha,0,0,16,0,0,0,0,0,50,0,0,50
55,Kurigram,0,0,5,0,0,0,0,0,15,0,0,15
56,Lalmonirhat,0,0,6,0,0,0,0,0,13,0,0,13
57,Nilphamari,0,0,8,0,0,0,0,0,38,0,0,38
58,Panchagarh,0,0,25,0,0,0,0,0,25,0,0,25
59,Rangpur,0,0,5,0,0,0,0,0,33,0,0,33
60,Thakurgaon,0,0,9,0,0,0,0,0,52,0,0,52
7,Rangpur,0,0,84,0,0,0,0,0,265,0,0,265
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,3,0,0,0,0,0,6,0,0,6
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,1,0,0,0,0,0,1,0,0,1
8,Sylhet,0,0,4,0,0,0,0,0,7,0,0,7
,BANGLADESH,0,0,1413,0,0,101,0,0,6082,0,0,6183
