Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,39,0,0,0,0,0,17,0,0,17
2,Barishal,0,0,315,0,0,0,0,0,185,0,0,185
3,Bhola,0,0,104,0,0,0,0,0,48,0,0,48
4,Jhallokati,0,0,50,0,0,0,0,0,15,0,0,15
5,Patuakhali,0,0,49,0,0,0,0,0,16,0,0,16
6,Pirojpur,0,0,124,0,0,0,0,0,64,0,0,64
1,Barishal,0,0,681,0,0,0,0,0,351,0,0,351
7,Bandarban,0,0,154,0,0,6,0,0,84,0,0,90
8,Brahmanbaria,0,0,9,0,0,0,0,0,5,0,0,5
9,Chandpur,0,0,7,0,0,0,0,0,11,0,0,11
10,Chattogram,0,0,122,0,0,0,0,0,94,0,0,94
11,Cumilla,0,0,42,0,0,0,0,0,31,0,0,31
12,Cox's Bazar,0,0,84,0,0,0,0,0,188,0,0,188
13,Feni,0,0,4,0,0,0,0,0,1,0,0,1
14,Khagrachhari,0,0,253,0,0,0,0,0,165,0,0,165
15,Laksmipur,0,0,48,0,0,3,0,0,21,0,0,24
16,Noakhali,0,0,433,0,0,0,0,0,353,0,0,353
17,Rangamati,0,0,383,0,0,156,0,0,258,0,0,414
2,Chattogram,0,0,1539,0,0,165,0,0,1211,0,0,1376
18,Dhaka,0,0,27,0,0,0,0,0,34,0,0,34
19,Faridpur,0,0,35,0,0,0,0,0,0,0,0,24
20,Gazipur,0,0,118,0,0,3,0,0,210,0,0,213
21,Gopalganj,0,0,69,0,0,0,0,0,6,0,0,6
22,Kishorganj,0,0,13,0,0,0,0,0,18,0,0,18
23,Madaripur,0,0,27,0,0,0,0,0,19,0,0,19
24,Manikganj,0,0,3,0,0,0,0,0,1,0,0,1
25,Munshiganj,0,0,6,0,0,0,0,0,1,0,0,1
26,Narayanganj,0,0,29,0,0,7,0,0,33,0,0,40
27,Narsingdi,0,0,17,0,0,0,0,0,1,0,0,1
28,Rajbari,0,0,35,0,0,0,0,0,25,0,0,25
29,Shariatpur,0,0,60,0,0,0,0,0,32,0,0,32
30,Tangail,0,0,35,0,0,0,0,0,22,0,0,22
3,Dhaka,0,0,474,0,0,10,0,0,402,0,0,436
31,Bagerhat,0,0,157,0,0,0,0,0,148,0,0,148
32,Chuadanga,0,0,12,0,0,0,0,0,12,0,0,12
33,Jashore,0,0,26,0,0,0,0,0,49,0,0,49
34,Jhenaidah,0,0,0,0,0,0,0,0,0,0,0,0
35,Khulna,0,0,37,0,0,0,0,0,12,0,0,12
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
