District name,May-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,254
Khagrachari,400,250,0,0,0,0,346,270
Rangamati,337,250,287,240,0,0,415,291
Chattogram,493,400,471,370,450,300,552,410
Coxbazar,500,338,455,331,445,315,590,375
Cumilla,465,425,454,0,440,400,532,483
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,410,325,400,315,369,300,503,337
Noakhali,475,0,0,0,450,0,508,430
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,442,0,480,0
Chattogram Division,440,331,413,314,433,329,462,356
Sylhet,390,350,389,300,0,0,408,365
Moulvibazar,394,332,385,320,0,0,427,341
Sunamganj,509,350,389,305,0,0,408,362
Habiganj,507,438,0,0,0,0,581,513
Sylhet Division,450,368,388,308,0,0,456,395
Dhaka,537,391,0,0,474,333,586,471
Gazipur,463,308,452,275,440,250,547,362
Manikganj,451,350,440,0,430,0,470,312
Munshiganj,480,380,460,370,450,350,496,425
Narayanganj,0,0,542,330,445,300,571,350
Narsingdi,385,0,0,0,375,0,526,0
Faridpur,400,350,367,340,317,300,520,400
Rajbari,425,350,0,0,366,320,450,367
Madaripur,466,0,455,0,440,0,505,300
Gopalganj,290,250,0,0,0,0,340,295
Shariatpur,569,0,555,0,540,0,580,510
Tangail,0,0,570,0,523,0,583,0
Kishoreganj,537,391,0,0,474,333,586,471
Dhaka Division,455,346,480,329,440,312,520,388
Mymensingh,400,0,350,0,320,0,450,0
Jamalpur,441,230,375,210,350,200,504,256
Sherpur,628,0,566,0,583,0,594,0
Netrokona,550,260,500,240,0,0,600,300
Mymensingh Division,505,245,448,225,418,200,537,278
