Name of Crops,2016-17,,2017-18,,2018-19,
,"Area
(acres)","Productio
n (MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Rabi Brinjal,80195,347541,80618,355862,82206,360421
Cauliflower,48725,277500,48083,274297,49869,284327
Cabbage,45681,311650,45829,321719,47401,331020
Gourd/ Water Gourd,46664,226084,46095,222315,47391,236033
Rabi pumpkin,42612,190646,41664,191087,43171,205666
Tomato,68366,388725,69509,385038,69697,387653
Radish,65652,280524,63066,284090,64434,308395
Bean,51595,137495,50888,134860,51578,144050
Bengal Spinach (Palong shak),21598,66292,22873,55609,23672,57616
Red Amaranth (Lalshak),28436,51664,29403,59150,29277,66694
Carrot,4533,16306,5084,18674,5085,19246
Laushak,15474,25100,16334,28647,16156,26812
Utchee,0,0,0,0,14548,29503
Shalgom,0,0,0,0,2965,7513
Other winter vegetables,18615,44412,18687,41003,-,-
Total-,538146,2363939,538133,2372351,547450,2464949
