Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,311445,126035,30.50,2.813,354584,311921,126228,31.30,2.887,364433
34,Jhenaidah,245042,99163,30.34,2.798,277486,244731,99037,30.88,2.848,282094
35,Khulna,235483,95295,22.40,2.066,196908,236253,95606,25.44,2.347,224346
36,Kustia,208652,84437,29.80,2.748,232075,209143,84636,30.92,2.852,241348
37,Magura,145091,58715,29.71,2.740,160884,141794,57381,29.11,2.685,154063
38,Meherpur,63334,25630,30.27,2.793,71573,62593,25330,29.76,2.745,69537
39,Narail,98782,39975,26.11,2.408,96273,96890,39209,23.62,2.179,85418
40,Satkhira,209265,84685,29.75,2.744,232351,211079,85419,30.61,2.823,241143
4,"Khulna
Division",1778265,719625,27.83,2.567,1847055,1765992,714658,28.35,2.615,1869004
41,Jamalpur.,246813,99880,26.63,2.456,245328,254033,102802,25.92,2.391,245755
42,Mymensingh,640114,259040,28.34,2.614,677160,661952,267877,26.24,2.420,648376
43,Netrokona,302450,122395,26.60,2.453,300282,319577,129326,24.60,2.269,293442
44,Sherpur,218322,88350,27.30,2.518,222444,213847,86539,25.14,2.319,200707
5,"Mymensingh
Division",1407699,569665,27.50,2.537,1445214,1449409,586544,25.66,2.367,1388280
45,Bogra,406199,164380,29.73,2.743,450823,433868,175577,28.90,2.665,467997
46,Joypurhat,174633,70670,30.39,2.804,198125,187872,76028,31.10,2.869,218127
47,Naogaon,405636,164152,28.44,2.623,430561,402752,162985,29.52,2.723,443820
48,Natore,183165,74123,26.84,2.476,183520,191156,77357,26.83,2.475,191444
49,"Chapai
Nawabgonj",120659,48828,29.16,2.690,131323,131763,53322,29.07,2.681,142977
50,Pabna,234080,94727,23.35,2.154,204045,219841,88965,23.60,2.177,193696
51,Rajshahi,175730,71114,29.91,2.759,196177,178830,72369,29.41,2.713,196312
52,Sirajgonj,204607,82800,25.69,2.369,196181,215486,87202,25.21,2.325,202740
6,"Rajshahi
Division",1904709,770794,28.00,2.583,1990755,1961568,793804,28.09,2.591,2057113
53,Dinajpur,633615,256410,30.17,2.783,713563,643425,260380,32.07,2.958,770155
54,Gaibandha,289860,117300,29.13,2.687,315190,309626,125299,30.26,2.791,349760
55,Kurigram,284367,115077,28.54,2.632,302921,286905,116104,29.38,2.710,314620
56,Lalmonirhat,208833,84510,30.34,2.799,236528,206199,83444,31.06,2.865,239059
57,Nilphamari,276289,111808,30.80,2.841,317680,277937,112475,32.68,3.014,338997
58,Panchagar,240908,97490,30.07,2.774,270411,238585,96550,32.11,2.962,285975
59,Rangpur,403928,163461,30.62,2.824,461649,409123,165563,32.08,2.959,489855
60,Thakurgaon,337268,136485,30.51,2.814,384125,332128,134405,31.07,2.866,385230
7,"Rangpur
Division",2675067,1082541,30.06,2.773,3002067,2703928,1094220,31.44,2.900,3173651
61,Hobigonj,252052,102000,25.90,2.389,243682,253580,102618,27.09,2.499,256459
62,Maulovibazar,241896,97890,29.45,2.716,265917,259729,105107,31.09,2.868,301451
63,Sunamgonj,183669,74327,26.17,2.414,179453,184251,74562,27.94,2.577,192140
64,Sylhet,350699,141920,25.69,2.369,336260,356391,144224,26.62,2.455,354070
8,"Sylhet
Division",1028316,416137,26.71,2.464,1025312,1053951,426511,28.07,2.589,1104121
BANGLADESH,,14034504,5679456,26.71,2.464,13992874,13892398,5621949,27.10,2.500,14054872
