,,,,,,,(Area in acres),
Division and,Owned,Operated,Homestead,Net,Temporary,Irrigated,Temporary,"Intensity
of"
District/Zila,area,area,area,cultivated,crops net,area,crops gross,cropping
,,,,area,area,,area,(%)
1,2,3,4,5,6,7,8,9
RAJSHAHI DIVISION,,,,,,,,
TOTAL,7002047,7422304,578319,6282051,6093420,4869598,11684494,192
RURAL,6744398,7304319,554638,6202212,6021126,4817244,11555453,192
URBAN,257649,117985,23681,79839,72294,52354,129041,178
64 NAOGAON,704633,784665,43233,691137,677993,546895,1216204,179
69 NATORE,386570,420884,30696,364062,350093,255508,560488,160
"70 CHAPAI
CHAPINAWABGONJ",311275,324673,21704,275201,247862,144732,412074,166
81 RAJSHAHI,452068,477074,34062,404413,371937,300711,709315,191
10 BOGURA,625464,670442,60029,557759,551807,496128,1198056,217
38 JOYPURHAT,221127,238342,16392,205681,202969,191685,465304,229
76 PABNA,454253,482289,46779,403546,387463,246758,672246,174
88 SIRAJGANJ,486985,521327,52150,426108,415569,340311,749122,180
27 DINAJPUR,749513,805444,49956,705603,694371,614453,1369923,197
77 PANCHAGARHH,275052,281391,18135,244898,237345,118611,445759,188
94 THAKURGAON,409014,424922,24784,377939,370943,340304,742868,200
32 GAIBANDHA,434504,449549,42074,365610,358717,303985,676641,189
49 KURIGRAM,386631,397061,38981,309241,293860,209725,578458,197
52 LALMONIRHAT,248855,262888,19693,217539,210355,164490,404816,192
73 NILPHAMARI,334061,336812,27422,278857,274937,202558,556419,202
85 RANGPUR,522041,544542,52231,454457,447201,392744,926804,207
SYLHET DIVISION,,,,,,,,
TOTAL,1592102,1622769,127468,1373842,1280436,701320,1613190,126
RURAL,1544171,1603636,121735,1364307,1272075,697968,1604088,126
URBAN,47931,19133,5734,9535,8361,3353,9102,109
36 HABIGANJ,372219,398283,26630,352106,342926,254971,485677,142
58 MAULVIBAZAR,271268,277328,26597,227900,196914,65846,267045,136
90 SUNAMGANJ,500209,513550,33206,451402,435266,279344,470999,108
91 SYLHET,448406,433609,41036,342434,305330,101159,389468,128
