Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund
)","Hectare
(M. Ton)","Productio
n
(M. Ton)"
1,Barguna,248672,100632,18.94,1.747,175762,202011,81749,20.89,1.927,157492
2,Barishal,316372,128029,19.45,1.794,229729,301636,122065,18.54,1.710,208723
3,Bhola,432937,175200,26.86,2.478,434140,430608,174258,26.35,2.430,423522
4,Jhalakathi,124791,50500,16.05,1.480,74752,117242,47445,16.70,1.540,73084
5,Patuakhali,497217,201213,20.64,1.904,383054,422852,171119,20.52,1.893,323902
6,Pirojpur,161009,65157,15.12,1.395,90900,159253,64446,18.52,1.708,110101
1,"Barishal
Division",1780998,720731,20.88,1.926,1388337,1633602,661083,21.27,1.962,1296824
7,Bandarban,27931,11303,30.08,2.775,31365,24280,9826,28.92,2.667,26210
8,"Brahmanbari
a",167071,67610,24.39,2.250,152123,133122,53872,26.80,2.472,133161
9,Chandpur,106368,43045,20.44,1.886,81165,109143,44168,19.49,1.798,79413
10,Chattogram,433616,175475,27.77,2.562,449527,419393,169719,27.83,2.567,435740
11,Cumilla,333982,135155,25.67,2.368,320063,333029,134770,25.43,2.346,316154
12,Cox' Bazar,192165,77765,29.98,2.766,215066,181366,73395,28.97,2.672,196112
13,Feni,161153,65215,29.06,2.680,174808,152599,61753,28.21,2.602,160699
14,Khagrachari,69603,28167,29.44,2.716,76493,66123,26758,29.57,2.727,72981
15,Laksmipur,191794,77615,28.28,2.608,202428,179248,72538,27.69,2.554,185273
16,Noakhali,357450,144652,24.33,2.244,324630,363746,147200,24.21,2.233,328736
17,Rangamati,22569,9133,29.84,2.752,25136,23616,9557,28.73,2.650,25324
2,"Chattogram
Division",2063702,835135,26.65,2.458,2052804,1985665,803555,26.44,2.439,1959802
18,Dhaka,41307,16716,21.51,1.984,33169,19917,8060,16.93,1.561,12583
19,Faridpur,202853,82090,26.26,2.422,198852,205837,83298,28.08,2.590,215743
20,Gazipur,105027,42502,28.75,2.652,112721,108392,43864,28.84,2.660,116674
21,Gopalgonj,68153,27580,18.32,1.690,46599,65828,26639,16.48,1.521,40506
22,Kishoregonj,190324,77020,29.92,2.759,212526,175299,70940,30.06,2.773,196690
23,Madaripur,65511,26511,18.82,1.736,46016,65392,26463,17.81,1.643,43480
24,Manikgonj,96104,38891,13.35,1.231,47884,86197,34882,14.09,1.299,45328
25,Munsigonj,51263,20745,10.35,0.955,19809,50877,20589,10.94,1.009,20772
26,Narayanganj,26893,10883,16.56,1.528,16627,26236,10617,16.46,1.518,16118
27,Narsingdi,102509,41483,26.82,2.473,102605,100231,40561,27.11,2.501,101431
28,Rajbari,114303,46256,29.43,2.715,125588,121563,49194,30.10,2.777,136599
29,Shariatpur,43662,17669,17.67,1.630,28801,35885,14522,16.79,1.549,22493
30,Tangail,287839,116482,23.28,2.147,250133,276628,111945,23.02,2.123,237661
3,"Dhaka
Division",1395746,564828,23.83,2.198,1241330,1338282,541574,24.14,2.227,1206076
31,Bagerhat,176684,71500,19.44,1.793,128216,170832,69132,18.32,1.690,116802
32,Chuadanga,84487,34190,30.66,2.828,96705,80756,32680,29.80,2.748,89821
