"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
1,Dhaka,22,24,1103,4183,685,3557,24,281,1834,8045,4.387
2,Faridpur,528,529,1792,6345,741,4868,25,557,3086,12299,3.985
3,Gazipur,7,9,2593,9176,1214,10612,189,5791,4002,25588,6.394
4,Gopalgonj,662,980,1453,5168,1428,8140,56,561,3599,14849,4.126
6,Kishorgonj,388,359,2822,10335,1572,9784,36,350,4818,20828,4.323
6,Madaripur,289,417,2149,8392,448,3339,0,0,2886,12148,4.209
7,Manikgonj,270,379,1565,5566,550,3947,0,0,2385,9892,4.148
8,Munshigonj,132,182,1331,5104,726,5406,33,400,2222,11092,4.992
9,Narayangonj,30,35,890,2928,679,3960,372,3938,1971,10861,5.510
10,Narsingdi,185,264,1170,4215,801,7812,452,8362,2609,20653,7.919
11,Rajbari,709,770,3493,9959,366,3421,0,0,4568,14150,3.098
12,Shariatpur,27,36,1776,7042,734,7980,0,0,2537,15058,5.935
13,Tangail,4,5,3003,11194,4308,28052,176,3059,7491,42310,5.648
,Dhaka Div.,3253,3989,25140,89607,14252,100878,1363,23299,44008,217773,4.948
14,Mymensinghh,987,1102,11267,40505,7895,52570,9527,253702,29676,347879,11.723
15,Netrakona,499,686,3724,13275,2003,11011,23,238,6248,25210,4.035
16,Jamalpur,40,58,2375,9257,628,5431,139,2416,3182,17162,5.394
17,Sherpur,57,80,2255,7117,1311,10402,680,9376,4303,26975,6.270
,Mymensinghh Div,1582,1926,19620,70154,11837,79414,10369,265732,43409,417226,9.612
18,Bagerhat,1903,5207,3175,6725,0,0,0,0,5078,11932,2.350
19,Chuadanga,6,8,1203,4781,979,6446,0,0,2188,11235,5.135
20,Jashore,71,100,5439,19737,7947,55515,3246,42648,16703,118000,7.065
21,Jhinaidah,671,3000,2943,12383,867,4870,0,0,4480,20253,4.520
22,Khulna,1224,1212,3184,12677,180,976,0,0,4588,14865,3.240
23,Kushtia,0,0,4129,14702,3,20,0,0,4132,14722,3.563
24,Magura,35,49,1896,7546,380,2764,0,0,2311,10359,4.482
25,Meherpur,0,0,1269,5421,328,1444,0,0,1597,6865,4.299
26,Narail,91,127,840,2656,143,887,0,0,1074,3670,3.420
27,Satkhira,7525,7568,4790,15998,516,3242,278,7128,13109,33936,2.589
,Khulna Div.,11526,17271,28868,102626,11343,76164,3524,49776,55261,245837,4.449
28,Barguna,496,675,1835,6147,22,130,0,0,2353,6952,2.955
29,Barisal,0,0,9958,38339,103,551,62,1086,10123,39976,3.949
30,Bhola,245,355,1740,6620,5699,32604,22,267,7706,39846,5.171
31,Jhalokathi,0,0,1107,4359,13,121,4,58,1124,4538,4.037
32,Patuakhali,1426,1631,6803,22057,172,1015,0,0,8401,24703,2.940
33,Pirojpur,702,1001,1738,4079,337,1874,0,0,2777,6954,2.504
,Barisal Div.,2869,3662,23181,81601,6346,36295,88,1411,32484,122969,3.786
