Zila/Division,,2007-18,,,,,2018-19,,,,
,,Area,,Yield per,,"Production
(Bales)",Area,,Yield per,,"Production
(Bales)"
,,Acres,Hectares,"Acre
(Bales)","Hectare
(Bales)",,Acres,Hectares,"Acre
(Bales)","Hectare
(Bales)",
1,Barguna,0,0,0,0,0,0,0,0,0,0
2,Barishal,27967,11318,3.81,9.415,106554,26735,10819,3.15,7.784,84215
3,Bhola,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,Jhalakathi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
5,Patuakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
6,Pirojpur,851,344,1.69,4.176,1438,890,360,1.93,4.769,1718
1,"Barishal
Division",28818,11662,3.75,9.260,107992,27625,11179,3.11,7.687,85933
7,Bandarban,0,0,0.00,0.000,0,0,0,0.00,0.000,0
8,"Brahmanbari
a",6748,2731,5.16,12.751,34820,6883,2785,4.85,11.985,33383
9,Chandpur,10899,4411,3.76,9.291,40980,9700,3925,3.61,8.921,35017
10,Chattogram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
11,Cumilla,1041,421,4.14,10.230,4310,1075,435,3.88,9.588,4171
12,Cox' Bazar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
13,Feni,0,0,0.00,0.000,0,0,0,0.00,0.000,0
14,Khagrachari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
15,Laksmipur,90,36,2.51,6.202,226,89,36,2.31,5.708,206
16,Noakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
17,Rangamati,0,0,0.00,0.000,0,0,0,0.00,0.000,0
2,"Chittagonj
Division",18778,7599,4.28,10.572,80336,17747,7182,4.10,10.133,72776
18,Dhaka,12864,5206,4.51,11.145,58017,12062,4881,4.12,10.181,49695
19,Faridpur,203703,82434,4.55,11.244,926849,199011,80535,4.18,10.329,831866
20,Gazipur,3889,1574,4.46,11.021,17345,3923,1588,4.20,10.379,16477
21,Gopalgonj,61300,24807,4.36,10.774,267268,61079,24717,4.16,10.280,254089
22,Kishoregonj,39031,15795,4.26,10.527,166272,38412,15544,4.02,9.934,154416
23,Madaripur,79052,31991,3.92,9.687,309884,78133,31619,4.11,10.156,321127
24,Manikgonj,12750,5160,4.06,10.033,51765,11137,4507,4.37,10.799,48669
25,Munsigonj,8068,3265,3.43,8.476,27673,7571,3064,3.67,9.069,27786
26,Narayanganj,1009,408,3.73,9.217,3764,1108,448,3.83,9.464,4244
27,Narsingdi,7367,2981,4.38,10.823,32267,6289,2545,4.57,11.293,28741
28,Rajbari,119301,48278,4.73,11.688,564294,120134,48616,4.28,10.576,514174
29,Shariatpur,61896,25048,4.14,10.230,256249,59272,23986,4.29,10.601,254277
30,Tangail,48556,19650,4.32,10.675,209762,44670,18077,4.43,10.947,197888
3,"Dhaka
Division",658786,266596,4.39,10.846,2891408,642801,260127,4.21,10.393,2703447
31,Bagerhat,2840,1149,4.49,11.095,12752,2723,1102,4.43,10.947,12063
32,Chuadanga,55072,22286,5.30,13.097,291882,56909,23030,5.25,12.973,298772
