District/Division,,"Total
area","Forest
area","Not available
for cultivation
area","Culturable
waste area","Current
fallow
area","Single
cropped
area","Double
cropped area","Triple
c ropped area","Quardruple
Cropped
area","Net
cropped
area","Gross
cropped
area"
1,,2,3,4,5,6,7,8,9,10,11,12
39,Jashore,644,0,177,5,44,23,252,142,1,418,957
40,Jhenaidah,486,0,135,2,0,24,213,112,0,349,786
41,Magura,257,0,68,9,10,6,94,68,2,170,406
42,Narail,239,0,73,0,0,14,94,57,1,166,377
43,Khulna,1086,546,195,10,43,185,78,29,0,292,428
44,Bagerhat,978,567,87,11,53,172,58,29,1,260,379
45,Satkhira,943,370,135,16,76,222,97,26,1,346,498
46,Kushtia,398,0,107,9,0,18,127,137,0,282,683
47,Chuadanga,290,0,78,3,17,3,62,127,0,192,508
48,Meherpur,186,0,62,1,4,4,16,98,1,119,334
6,"Khulna
Division",5507,1483,1117,66,247,671,1091,825,7,2594,5356
49,Rajshahi,599,0,126,5,10,107,233,116,2,458,929
50,Naogoan,849,7,128,4,80,147,325,156,2,630,1273
51,Natore,470,0,104,2,0,69,214,81,0,364,740
52,"Chapai
Nawbganj",421,0,103,3,6,71,168,70,0,309,617
53,Bogura,716,0,190,2,18,6,281,218,1,506,1226
54,Joypurhat,250,0,43,1,0,3,116,87,0,206,496
55,Pabna,587,0,197,2,0,34,238,113,3,388,861
56,Sirajganj,594,0,217,1,1,13,246,115,1,375,854
7,"Rajshahi
Division",4486,7,1108,20,115,450,1821,956,9,3236,6996
57,Rangpur,593,3,1,1,0,23,313,142,3,481,1063
58,Gaibandah,523,0,1,1,2,56,238,77,0,371,763
59,Kurigram,555,0,5,5,2,40,237,66,2,345,720
60,Nilphamari,382,1,2,2,0,5,1 9 9,9 0,1,2 9 5,677
61,Lalmonirhat,308,0,1,2,0,6,130,72,0,208,482
62,Dinajpur,851,18,2,2,0,56,400,215,1,672,1505
63,Thakurgaon,440,2,1,1,0,9,265,115,1,390,888
64,Panchagarh,347,5,4,2,1,30,159,68,0,257,552
8,"Rangpur
Division",3999,29,17,16,5,225,1941,845,8,3019,6650
BANGLADESH,,36465,6363,8364,639,1126,5271,10065,4594,43,19973,39357
