Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,158600,64182,12.53,1.156,74168,120158,48625,15.89,1.466,71270
2,Barishal,200110,80980,13.66,1.260,102011,186581,75505,12.88,1.188,89704
3,Bhola,124296,50300,18.22,1.681,84540,123564,50004,19.29,1.779,88972
4,Jhalakathi,103292,41800,13.14,1.212,50652,93945,38017,13.89,1.281,48708
5,Patuakhali,248254,100463,11.92,1.100,110489,213921,86569,12.23,1.128,97658
6,Pirojpur,130622,52860,12.50,1.153,60967,127925,51768,16.79,1.549,80174
1,"Barishal
Division",965175,390585,13.40,1.236,482827,866094,350489,14.74,1.359,476485
7,Bandarban,353,143,18.20,1.678,240,390,158,19.68,1.815,286
8,Brahmanbaria,10749,4350,14.41,1.329,5780,8895,3600,12.21,1.126,4054
9,Chandpur,8636,3495,18.26,1.684,5887,14567,5895,15.56,1.435,8461
10,Chattogram,74850,30290,16.07,1.482,44892,63076,25525,16.56,1.527,38990
11,Cumilla,19435,7865,18.03,1.663,13081,20122,8143,15.56,1.435,11687
12,Cox' Bazar,10823,4380,18.23,1.682,7366,9782,3959,15.78,1.456,5762
13,Feni,17570,7110,18.05,1.665,11837,16819,6806,15.23,1.405,9562
14,Khagrachari,5298,2144,18.00,1.660,3560,3768,1525,19.45,1.794,2736
15,Laksmipur,11367,4600,18.14,1.673,7696,10542,4266,15.45,1.425,6080
16,Noakhali,126199,51070,16.87,1.556,79469,131158,53077,15.23,1.405,74563
17,Rangamati,561,227,17.67,1.630,370,578,234,15.89,1.466,343
2,"Chattogram
Division",285842,115674,16.89,1.558,180178,279697,113187,15.57,1.436,162523
18,Dhaka,1579,639,18.10,1.670,1067,5449,2205,17.02,1.570,3462
19,Faridpur,7915,3203,17.94,1.655,5300,9439,3820,16.54,1.526,5828
20,Gazipur,10033,4060,17.40,1.605,6518,15530,6285,16.04,1.480,9298
21,Gopalgonj,10638,4305,18.26,1.684,7250,11488,4649,17.12,1.579,7341
22,Kishoregonj,13472,5452,18.11,1.670,9105,12588,5094,17.25,1.591,8105
23,Madaripur,13663,5529,18.06,1.666,9210,13544,5481,16.01,1.477,8094
24,Manikgonj,608,246,18.07,1.667,410,518,210,15.01,1.385,290
25,Munsigonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
26,Narayanganj,2095,848,17.83,1.645,1395,1935,783,16.22,1.496,1172
27,Narsingdi,22326,9035,18.19,1.678,15161,21577,8732,16.14,1.489,12999
28,Rajbari,2076,840,18.20,1.679,1410,4113,1664,17.05,1.573,2618
29,Shariatpur,16018,6482,18.25,1.683,10910,10497,4248,16.89,1.558,6618
30,Tangail,38052,15399,18.25,1.684,25928,36521,14779,17.52,1.616,23884
3,"Dhaka
Division",138476,56038,18.12,1.671,93664,143199,57949,16.78,1.548,89709
31,Bagerhat,102056,41300,11.94,1.101,45486,95568,38674,10.45,0.964,37278
32,Chuadanga,865,350,18.12,1.671,585,877,355,16.79,1.549,550
