Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,72,51,0,0,0,32,82,100,32,82,82
2,Barishal,0,562,405,0,0,0,530,527,521,530,527,521
3,Bhola,0,132,95,0,0,0,111,107,164,111,107,164
4,Jhallokati,0,106,77,0,0,0,61,67,70,61,67,70
5,Patuakhali,0,494,352,0,0,0,519,542,550,519,542,550
6,Pirojpur,0,116,52,0,0,0,80,80,85,80,80,85
1,Barishal,0,1483,1482,0,0,0,1333,1405,1490,1333,1405,1472
7,Bandarban,16,82,2126,21,30,30,140,131,131,161,161,161
8,Brahmanbaria,0,192,83,0,0,0,440,472,455,440,472,455
9,Chandpur,0,213,22,0,0,0,325,308,307,325,308,307
10,Chattogram,1,636,1078,24,12,13,1416,1120,1365,1440,1132,1378
11,Cumilla,0,348,553,0,0,232,679,679,457,679,679,689
12,Cox's Bazar,0,80,119,0,2,19,200,90,270,200,92,289
13,Feni,0,130,42,0,0,0,69,73,85,69,73,85
14,Khagrachhari,19,667,261,228,115,143,894,1075,1106,1122,1190,1249
15,Laksmipur,0,115,0,0,0,0,75,71,73,75,71,73
16,Noakhali,0,189,32,0,0,0,322,95,205,322,95,205
17,Rangamati,17,414,354,68,67,112,800,866,633,868,933,745
2,Chattogram,53,3065,3075,341,226,549,5360,4980,5087,5701,5206,5636
18,Dhaka,0,174,174,0,0,0,222,216,243,222,216,243
19,Faridpur,0,452,690,0,0,0,690,546,483,690,546,483
20,Gazipur,0,292,349,0,16,184,685,334,166,685,350,350
21,Gopalganj,9,342,84,8,0,0,488,464,476,496,464,476
22,Kishorganj,0,445,86,0,0,0,1066,1067,1038,1066,1067,1038
23,Madaripur,0,189,70,0,0,0,397,401,234,397,401,234
24,Manikganj,0,165,138,0,0,0,263,278,301,263,278,301
25,Munshiganj,0,105,20,0,0,0,143,147,147,143,147,147
26,Narayanganj,0,100,33,0,0,0,184,188,189,184,188,189
27,Narsingdi,0,288,39,0,85,0,712,838,501,712,923,501
28,Rajbari,0,149,108,0,0,0,238,238,274,238,238,274
29,Shariatpur,0,1271,1271,0,0,688,691,693,2,691,693,690
30,Tangail,0,483,53,0,0,0,582,628,656,582,628,656
3,Dhaka,9,4456,4474,8,101,872,6361,6038,4710,6369,6139,5582
31,Bagerhat,0,490,181,0,0,0,299,302,377,299,302,377
32,Chuadanga,0,98,98,0,0,0,245,244,255,245,244,255
33,Jashore,0,548,110,0,0,0,995,946,938,995,946,938
34,Jhenaidah,0,208,48,0,0,0,429,398,404,429,398,404
35,Khulna,0,493,184,0,0,0,562,562,577,562,562,577
36,Kushtia,0,235,35,0,0,0,1509,1079,1076,1509,1079,1076
