District name,April-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,391,241
Khagrachari,350,200,0,0,0,0,375,250
Rangamati,337,250,287,200,0,0,415,291
Chattogram,510,390,485,350,475,350,576,430
Coxbazar,500,338,460,331,430,250,590,375
Cumilla,462,400,390,383,380,365,505,417
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,529,442,520,430,500,400,550,450
Noakhali,567,0,538,500,538,0,575,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,450,0,480,0
Chattogram Division,465,337,447,366,462,341,474,351
Sylhet,383,350,370,270,0,0,401,360
Moulvibazar,381,254,370,244,0,0,418,338
Sunamganj,483,433,0,0,0,0,469,419
Habiganj,507,438,0,0,0,0,581,513
Sylhet Division,439,369,370,257,0,0,467,408
Dhaka,529,450,512,380,430,370,550,470
Gazipur,515,391,0,0,431,293,542,392
Manikganj,420,262,382,237,359,212,452,300
Munshiganj,410,350,0,0,473,400,419,325
Narayanganj,440,400,420,385,410,375,487,433
Narsingdi,0,0,512,400,454,0,562,0
Faridpur,400,350,400,0,0,0,433,0
Rajbari,450,350,433,300,367,300,510,400
Madaripur,425,345,400,332,395,320,450,352
Gopalganj,467,0,450,435,442,0,512,250
Shariatpur,384,270,0,0,0,0,432,323
Tangail,438,0,440,0,446,0,463,0
Kishoreganj,0,0,610,400,571,0,670,450
Dhaka Division,443,352,456,359,434,324,499,370
Mymensingh,450,0,350,0,320,0,500,0
Jamalpur,360,230,330,210,310,200,400,256
Sherpur,467,0,459,0,473,0,489,0
Netrokona,530,220,520,200,0,0,550,235
Mymensingh Division,452,225,415,205,368,200,485,246
