District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,400,0,0,0,0,0,410,0
Jhalokathi,410,0,0,0,0,0,430,380
Perojpur,400,0,0,0,0,0,400,0
Bhola,410,350,360,300,0,0,400,370
Patuakhali,390,0,0,0,0,0,390,0
Barguna,400,0,0,0,0,0,410,0
Barisal Division,402,350,360,300,0,0,407,375
Jashore,0,0,0,0,0,0,285,171
Jhenaidah,302,207,289,204,279,191,331,224
Magura,324,0,278,0,234,0,368,0
Narail,421,0,328,0,306,0,452,332
Khulna,0,0,0,0,0,0,433,352
Bagerhat,369,0,364,0,372,0,370,300
Satkhira,0,0,0,0,0,0,298,194
Kushtia,334,0,320,0,280,0,375,0
Chuadanga,270,0,0,0,0,0,300,0
Meherpur,250,0,0,0,0,0,270,0
Khulna Division,324,207,316,204,294,191,348,262
Rajshahi,306,270,303,272,0,0,331,271
Naogaon,325,264,316,260,360,301,310,237
Natore,0,0,0,0,0,0,337,258
Chapai Nawabganj,405,320,398,300,350,288,428,352
Bogra,0,0,305,0,330,244,425,300
Joypurhat,300,250,0,0,300,250,300,250
Pabna,345,240,275,209,271,0,355,244
Sirajganj,0,0,363,0,0,0,340,297
Rajshahi Division,336,269,327,260,322,271,353,276
Rangpur,325,220,0,0,0,0,330,240
Gaibandha,0,0,0,0,0,0,285,205
Kurigram,345,225,0,0,0,0,350,240
Nilphamari,275,170,0,0,0,0,295,195
Lalmonirhat,275,195,250,190,0,0,290,195
Dinajpur,290,215,250,0,250,0,300,235
Thakurgaon,305,220,0,0,0,0,305,250
Panchagarh,325,240,0,0,0,0,335,260
Rangpur Division,306,212,250,95,250,0,311,228
BANGLADESH,366,268,343,238,319,229,391,298
