District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,340,370,0,0,0,0,380,330
Jhalokathi,330,0,0,0,0,0,380,0
Perojpur,330,370,0,0,0,0,380,330
Bhola,320,0,0,0,0,0,380,0
Patuakhali,330,0,0,0,0,0,380,0
Barguna,397,0,0,0,0,0,408,0
Barisal Division,341,370,0,0,0,0,385,330
Jashore,0,0,0,0,0,0,341,271
Jhenaidah,358,228,351,215,359,185,397,258
Magura,466,0,440,0,351,0,535,0
Narail,346,0,341,0,328,0,385,294
Khulna,0,0,0,0,0,0,480,378
Bagerhat,465,280,422,260,395,250,489,315
Satkhira,0,0,0,0,0,0,493,385
Kushtia,332,0,320,0,280,0,375,0
Chuadanga,270,0,0,0,0,0,300,0
Meherpur,257,0,0,0,0,0,277,0
Khulna Division,356,254,375,238,343,218,407,317
Rajshahi,337,291,331,240,0,0,346,324
Naogaon,325,264,316,260,310,201,350,325
Natore,0,0,0,0,0,0,337,258
Chapai Nawabganj,316,300,300,300,280,250,385,330
Bogra,0,0,0,0,348,262,450,300
Joypurhat,300,250,0,0,300,250,330,290
Pabna,404,240,317,217,397,0,360,242
Sirajganj,335,0,402,0,0,0,370,350
Rajshahi Division,336,269,333,254,327,241,366,302
Rangpur,345,220,0,0,0,0,355,205
Gaibandha,0,0,0,0,0,0,325,215
Kurigram,385,225,0,0,0,0,395,300
Nilphamari,335,180,0,0,0,0,350,200
Lalmonirhat,280,200,235,160,0,0,280,200
Dinajpur,300,215,295,205,280,0,335,245
Thakurgaon,305,230,0,0,0,0,355,245
Panchagarh,315,230,0,0,0,0,330,240
Rangpur Division,324,214,265,183,280,0,341,231
BANGLADESH,387,303,327,228,335,204,429,324
