Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,170,0,0,0,0,0,245,0,0,245
2,Barishal,0,0,463,0,0,0,0,0,970,0,0,970
3,Bhola,0,0,275,0,0,0,0,0,725,0,0,725
4,Jhallokati,0,0,131,0,0,0,0,0,238,0,0,238
5,Patuakhali,0,0,509,0,0,0,0,0,998,0,0,998
6,Pirojpur,0,0,213,0,0,0,0,0,555,0,0,555
1,Barishal,0,0,1761,0,0,0,0,0,3731,0,0,3731
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,8,0,0,0,0,0,37,0,0,37
9,Chandpur,0,0,0,0,0,0,0,0,459,0,0,459
10,Chattogram,0,0,1734,0,0,0,0,0,176,0,0,176
11,Cumilla,0,0,97,0,0,0,0,0,354,0,0,354
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,2,0,0,2
14,Khagrachhari,0,0,108,0,0,0,0,0,206,0,0,206
15,Laksmipur,0,0,0,0,0,0,0,0,269,0,0,269
16,Noakhali,0,0,27,0,0,0,0,0,190,0,0,190
17,Rangamati,0,0,227,0,0,38,0,0,488,0,0,526
2,Chattogram,0,0,2201,0,0,38,0,0,2181,0,0,2219
18,Dhaka,0,0,1,0,0,0,0,0,38,0,0,38
19,Faridpur,0,0,65,0,0,0,0,0,77,0,0,77
20,Gazipur,0,0,45,0,0,0,0,0,105,0,0,105
21,Gopalganj,0,0,204,0,0,0,0,0,478,0,0,478
22,Kishorganj,0,0,1,0,0,0,0,0,9,0,0,9
23,Madaripur,0,0,55,0,0,0,0,0,855,0,0,855
24,Manikganj,0,0,19,0,0,0,0,0,90,0,0,90
25,Munshiganj,0,0,15,0,0,0,0,0,180,0,0,180
26,Narayanganj,0,0,3,0,0,9,0,0,31,0,0,40
27,Narsingdi,0,0,3,0,0,0,0,0,34,0,0,34
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,198,0,0,0,0,0,344,0,0,344
30,Tangail,0,0,7,0,0,0,0,0,51,0,0,51
3,Dhaka,0,0,616,0,0,9,0,0,2292,0,0,2301
31,Bagerhat,0,0,17,0,0,0,0,0,419,0,0,419
32,Chuadanga,0,0,2,0,0,0,0,0,3,0,0,3
33,Jashore,0,0,2,0,0,0,0,0,40,0,0,40
34,Jhenaidah,0,0,0,0,0,0,0,0,1,0,0,1
35,Khulna,0,0,29,0,0,0,0,0,91,0,0,91
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
