District/Division,,"Total
area","Forest
area","Not available
for cultivation
area","Culturable
waste area","Current
fallow
area","Single
cropped
area","Double
cropped
area","Triple
cropped
area","Quardruple
Cropped
area","Net
cropped
area","Gross
cropped
area"
1,,2,3,4,5,6,7,8,9,10,11,12
1,Bandarban,1107,798,107,105,20,41,25,11,0,77,124
2,Khagrachari,679,554,42,3,0,13,46,21,0,80,168
3,Rangamati,1511,1379,24,6,0,50,35,17,0,102,171
4,Chattogram,1305,426,407,26,2,79,255,110,0,444,919
5,Coxs Bazar,616,209,162,14,0,66,128,37,0,231,433
6,Cumilla,777,2,201,6,38,127,293,108,2,530,1045
7,Chandpur,407,0,132,2,25,134,91,23,0,248,385
8,Brahmmanbaria,465,0,124,5,35,129,145,27,0,301,500
9,Noakhali,911,385,171,5,0,46,217,87,0,350,741
10,Lakshmipur,356,50,69,3,0,10,169,55,0,234,513
11,Feni,245,20,87,3,8,13,84,30,0,127,271
1,"Chattogram
Division",8379,3823,1526,178,128,708,1488,526,2,2724,5270
12,Sylhet,853,50,265,38,22,257,169,52,0,478,751
13,Moulvibazar,692,71,185,31,19,188,149,49,0,386,633
14,Sunamganj,926,18,298,46,38,332,129,65,0,526,785
15,Habiganj,651,36,201,20,14,111,206,63,0,380,712
2,Sylhet Division,3122,175,949,135,93,888,653,229,0,1770,2881
16,Dhaka,362,1,175,9,20,92,51,14,0,157,240
17,Gazipur,446,65,169,12,6,100,76,18,0,194,306
18,Manikganj,342,0,110,5,4 3,3 6,9 1,5 5,2,1 8 4,3 9 1
19,Munshiganj,248,0,83,4,40,37,69,15,0,121,220
20,Narayanganj,169,0,70,3,26,39,19,12,0,70,113
21,Narsingdi,284,0,97,0,46,42,68,27,2,139,267
22,Faridpur,507,0,104,43,0,52,203,105,0,360,773
23,Rajbari,270,0,40,12,2,42,111,62,1,216,454
24,Madaripur,278,0,46,2,40,62,95,33,0,190,351
25,Gopalganj,363,0,118,8,33,54,110,40,0,204,416
26,Shariatpur,290,0,111,4,0,65,79,31,0,175,316
27,Tangail,844,123,156,22,68,149,224,102,0,475,903
28,Kishoerganj,664,0,191,21,23,193,184,52,0,429,717
3,Dhaka Division,5067,189,1470,147,347,963,1380,566,5,2914,5467
29,Mymensinghh,1086,39,297,8,25,116,454,145,2,717,1467
30,Jamalpur,523,10,116,8,0,61,223,102,3,389,825
31,Sherpur,337,20,65,2,1,39,161,45,4,249,512
32,Netrokona,690,2,181,32,20,160,230,65,0,455,815
4,"Mymensing
Division",2636,71,659,50,45,376,1068,357,9,1810,3619
33,Barishal,688,0,229,6,2,277,142,32,0,451,657
34,Jhalokathi,175,0,57,0,0,36,59,23,0,118,223
35,Perojpur,316,1,108,1,0,115,63,28,0,206,325
36,Bhola,841,360,29,3,7,107,179,154,2,442,935
37,Patuakhali,796,150,151,9,78,265,122,21,0,408,572
38,Barguna,453,75,32,5,60,190,58,32,1,281,406
5,Barishal Division,3269,586,606,24,147,990,623,290,3,1906,3118
