Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,37,42,993,673,716,446,1564,1692,3455,2237,2408,3901
2,Barishal,13,10,1195,182,113,120,2325,3121,3120,2507,3234,3240
3,Bhola,0,0,377,0,0,604,1119,1148,649,1119,1148,1253
4,Jhallokati,0,11,370,0,39,40,1670,808,888,1670,847,928
5,Patuakhali,0,0,1544,0,0,0,1541,2624,2227,1541,2624,2227
6,Pirojpur,11,22,541,149,297,315,910,1106,1162,1059,1403,1477
1,Barishal,61,85,5020,1004,1165,1525,9129,10499,11501,10133,11664,13026
7,Bandarban,153,153,153,1152,1190,1115,547,534,529,1699,1724,1644
8,Brahmanbaria,3,3,12,134,121,182,892,1052,1175,1026,1173,1357
9,Chandpur,7,0,0,166,0,180,1748,2628,2633,1914,2628,2813
10,Chattogram,38,41,2090,465,490,494,3275,3377,3368,3740,3867,3862
11,Cumilla,1,1,1,198,198,220,1776,1817,1891,1974,2015,2111
12,Cox's Bazar,0,35,34,412,550,550,1242,1259,1259,1654,1809,1809
13,Feni,0,0,95,0,0,100,522,542,442,522,542,542
14,Khagrachhari,108,123,264,596,621,643,1463,1487,1466,2059,2108,2109
15,Laksmipur,28,0,0,917,0,0,2040,3112,3114,2957,3112,3114
16,Noakhali,0,0,221,0,0,0,1740,1628,1314,1740,1628,1314
17,Rangamati,215,215,403,3513,3495,4650,2650,2250,3117,6163,5745,7767
2,Chattogram,553,571,3273,7553,6665,8134,17895,19686,20308,25448,26351,28442
18,Dhaka,47,49,111,855,592,894,1657,2198,1430,2512,2790,2324
19,Faridpur,60,60,475,1234,1336,156,2276,2526,3345,3510,3862,3501
20,Gazipur,246,246,3908,2661,2717,2717,1273,1270,1270,3934,3987,3987
21,Gopalganj,14,3,431,177,161,1072,1513,1522,5289,1690,1683,6361
22,Kishorganj,28,40,190,1646,1744,2964,1577,1484,2962,3223,3228,5926
23,Madaripur,59,61,61,149,163,163,2570,2550,2550,2719,2713,2713
24,Manikganj,74,74,322,1098,1143,1182,1781,1752,2007,2879,2895,3189
25,Munshiganj,3,3,99,28,28,28,736,742,742,764,770,770
26,Narayanganj,5,5,60,95,93,93,1417,1342,1359,1512,1435,1452
27,Narsingdi,105,105,257,1535,1616,3968,1057,864,1095,2592,2480,5063
28,Rajbari,688,671,280,1851,2105,600,3639,3472,576,5490,5577,1176
29,Shariatpur,0,0,0,0,0,0,866,969,969,866,969,969
30,Tangail,55,54,54,761,983,4000,3346,3786,1710,4107,4769,5710
