District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,426,0,400,0,0,0,468,0
Jhalokathi,460,0,0,0,0,0,493,0
Perojpur,478,450,468,375,375,350,520,425
Bhola,433,0,367,0,0,0,464,0
Patuakhali,413,0,0,0,0,0,442,0
Barguna,514,0,500,0,0,0,525,0
Barisal Division,454,450,434,375,375,350,485,425
Jashore,0,0,0,0,0,0,274,185
Jhenaidah,284,220,270,210,299,200,295,230
Magura,308,0,255,0,236,0,351,0
Narail,330,0,0,0,315,0,333,330
Khulna,0,0,0,0,0,0,462,352
Bagerhat,317,300,312,290,325,275,361,320
Satkhira,0,0,0,0,0,0,312,234
Kushtia,342,0,330,0,300,0,393,0
Chuadanga,245,0,0,0,0,0,280,0
Meherpur,250,0,0,0,0,0,280,0
Khulna Division,297,260,292,250,295,238,334,275
Rajshahi,365,289,350,250,336,0,390,300
Naogaon,330,270,313,250,300,225,350,253
Natore,309,223,0,0,0,0,348,245
Chapai Nawabganj,312,250,300,235,290,225,345,270
Bogra,367,0,350,0,316,0,275,0
Joypurhat,350,250,0,0,330,230,385,280
Pabna,385,315,350,300,0,0,400,330
Sirajganj,0,0,0,0,0,0,348,300
Rajshahi Division,345,266,333,259,314,227,355,283
Rangpur,320,200,0,0,0,0,323,239
Gaibandha,0,0,0,0,0,0,286,225
Kurigram,310,210,0,0,0,0,296,230
Nilphamari,346,235,0,0,0,0,323,219
Lalmonirhat,337,268,294,260,0,0,350,280
Dinajpur,350,237,325,220,305,0,360,250
Thakurgaon,323,260,0,0,0,0,334,270
Panchagarh,326,223,0,0,0,0,350,243
Rangpur Division,330,233,310,240,305,0,328,245
BANGLADESH,381,289,377,280,364,270,407,308
