Zila/ Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,0,0,25,26
11,Cumilla,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,5,3
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,0,0,0,0,25,26
2,Chattogram,0,0,0,0,55,55
18,Dhaka,0,0,0,0,86,25
19,Faridpur,0,0,0,0,0,0
20,Gazipur,0,0,0,0,245,210
21,Gopalganj,0,0,0,0,0,0
22,Kishorganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,0,0,253,375
29,Shariatpur,0,0,0,0,0,0
30,Tangail,0,0,0,0,572,240
3,Dhaka,0,0,0,0,1156,850
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,682,429
33,Jashore,0,0,0,0,2413,3973
34,Jhenaidah,0,0,0,0,4590,6960
35,Khulna,0,0,0,0,0,0
36,Kushtia,0,0,0,0,2071,2541
