Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,299,296,0,0,0,80,144,147,80,144,147
2,Barishal,0,1070,1061,0,0,0,971,927,873,971,927,873
3,Bhola,0,466,462,0,0,0,239,284,283,239,284,283
4,Jhallokati,0,159,158,0,0,0,68,111,117,68,111,117
5,Patuakhali,0,436,433,0,0,0,34,247,244,34,247,244
6,Pirojpur,0,223,221,0,0,0,119,108,111,119,108,111
1,Barishal,0,2654,2724,0,0,0,1511,1821,1775,1511,1821,1775
7,Bandarban,23,138,137,65,66,67,215,223,226,280,289,293
8,Brahmanbaria,0,736,735,0,0,0,900,998,384,900,998,384
9,Chandpur,0,511,529,0,0,0,361,390,407,361,390,407
10,Chattogram,5,1611,2336,543,15,31,918,1441,1802,1461,1456,1833
11,Cumilla,0,1548,1673,0,0,257,1402,1257,1095,1402,1257,1352
12,Cox's Bazar,95,446,324,27,0,41,734,756,451,761,756,492
13,Feni,0,401,405,0,0,0,259,251,261,259,251,261
14,Khagrachhari,4,930,945,136,11,11,392,660,716,528,671,727
15,Laksmipur,0,300,296,0,0,3,131,139,170,131,139,173
16,Noakhali,27,347,354,0,0,0,104,107,112,104,107,112
17,Rangamati,0,424,428,63,98,83,454,440,440,517,538,523
2,Chattogram,154,7392,8239,834,190,493,5870,6662,6064,6704,6852,6557
18,Dhaka,0,228,233,0,0,17,229,141,138,229,141,155
19,Faridpur,0,971,962,0,0,0,758,40,560,758,40,560
20,Gazipur,0,594,591,0,0,13,506,33,366,506,33,379
21,Gopalganj,0,614,609,0,0,0,360,300,257,360,300,257
22,Kishorganj,0,675,670,0,0,57,1648,1449,1417,1648,1449,1474
23,Madaripur,0,943,932,0,0,0,641,31,599,641,31,599
24,Manikganj,0,263,261,0,0,3,326,42,45,326,42,48
25,Munshiganj,0,94,92,0,0,0,137,47,131,137,47,131
26,Narayanganj,0,112,115,0,0,0,119,122,125,119,122,125
27,Narsingdi,0,360,300,0,0,7,797,813,536,797,813,543
28,Rajbari,0,1937,1921,0,0,0,2453,47,2407,2453,47,2407
29,Shariatpur,0,979,970,0,0,0,296,14,379,296,14,379
30,Tangail,0,561,730,0,0,0,490,28,533,490,28,533
3,Dhaka,0,8330,8511,0,0,97,8760,3107,7493,8760,3107,7590
31,Bagerhat,0,556,536,0,0,0,170,173,187,170,173,187
32,Chuadanga,0,137,121,0,1114,113,161,641,238,161,1755,351
33,Jashore,0,911,843,0,0,0,968,968,941,968,968,941
34,Jhenaidah,0,1223,1171,0,0,197,1129,1118,1167,1129,1118,1364
35,Khulna,0,408,409,0,0,0,341,353,356,341,353,356
36,Kushtia,61,3624,3570,343,468,485,4410,6844,7025,4753,7312,7510
