District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,421,0,0,0,0,0,461,0
Jhalokathi,514,0,0,0,0,0,559,0
Perojpur,428,350,0,0,0,0,466,400
Bhola,420,0,375,0,0,0,465,0
Patuakhali,439,0,430,0,0,0,500,0
Barguna,375,0,0,0,0,0,0,0
Barisal Division,433,350,403,0,0,0,490,400
Jashore,0,0,0,0,0,0,315,215
Jhenaidah,294,211,286,195,278,190,335,225
Magura,380,0,345,0,327,0,390,0
Narail,320,0,281,0,265,0,342,292
Khulna,0,0,0,0,0,0,453,376
Bagerhat,466,300,475,350,525,400,433,300
Satkhira,0,0,0,0,0,0,293,216
Kushtia,338,0,320,0,280,0,392,0
Chuadanga,325,0,0,0,0,0,350,0
Meherpur,280,0,0,0,0,0,330,0
Khulna Division,343,256,341,273,335,295,363,271
Rajshahi,336,271,316,233,0,0,361,282
Naogaon,324,276,310,265,300,255,346,290
Natore,309,225,0,0,0,0,348,245
Chapai Nawabganj,300,275,290,262,282,250,320,228
Bogra,346,0,337,0,325,246,425,300
Joypurhat,300,250,0,0,288,220,350,285
Pabna,418,241,402,230,315,0,430,245
Sirajganj,0,0,344,0,0,0,373,250
Rajshahi Division,333,256,333,248,302,243,369,266
Rangpur,350,215,0,0,0,0,360,230
Gaibandha,0,0,0,0,0,0,295,225
Kurigram,325,200,0,0,0,0,318,255
Nilphamari,336,224,0,0,0,0,346,235
Lalmonirhat,300,215,0,0,0,0,287,173
Dinajpur,300,233,280,215,300,0,333,238
Thakurgaon,302,272,0,0,0,0,216,267
Panchagarh,316,246,0,0,0,0,338,225
Rangpur Division,318,229,280,215,300,0,312,231
BANGLADESH,381,286,372,283,358,287,404,293
