Station name Year Jan. Feb. Mar. Apr. May. Jun. Jul. Aug. Sep. Oct. Nov. Dec. Annual
Dhaka 2017 62 57 67 72 73 80 83 83 82 79 67 76 73
Tangail 2017 77 70 72 76 77 83 86 84 84 83 79 83 79
Mymensinghh 2017 76 73 78 81 80 84 86 86 87 85 81 84 81
Faridpur 2017 76 70 72 75 78 84 86 84 85 84 78 83 79
Madaripur 2017 78 73 77 79 79 85 87 85 86 84 79 84 81
Srimangal 2017 80 72 77 81 79 86 85 85 87 87 84 86 82
Sylhet 2017 71 65 74 81 78 87 85 88 87 83 77 78 79
Bogra 2017 74 68 70 75 76 81 85 83 84 83 75 80 77
Dinajpur 2017 79 71 72 77 79 79 84 84 83 84 77 80 79
Ishurdi 2017 77 71 70 72 77 82 87 85 85 85 80 83 79
Rajshahi 2017 77 73 73 72 79 82 88 85 87 87 81 83 80
Rangpur 2017 78 75 75 78 79 79 83 84 84 84 77 81 79
Sayedpur 2017 77 71 73 77 78 79 83 84 83 84 77 80 78
Chuadanga 2017 78 71 69 72 78 82 87 85 84 85 81 85 79
Jessore 2017 77 70 69 71 73 78 84 81 81 82 78 82 77
Khulna 2017 77 72 74 74 75 83 87 86 85 86 79 84 80
Mongla 2017 73 71 75 75 76 85 88 88 88 87 79 84 80
Satkhira 2017 77 73 74 73 73 82 87 84 84 85 79 84 79
Barisal 2017 80 75 81 81 79 87 93 92 91 87 83 86 84
Bhola 2017 77 72 77 79 76 82 85 85 84 83 82 86 80
Khepupara 2017 74 74 80 81 79 85 90 87 89 87 83 84 82
Patuakhali 2017 75 72 78 82 80 86 90 91 91 90 86 87 84
Chandpur 2017 77 69 74 80 78 84 86 84 85 83 76 82 79
Teknaf 2017 70 70 77 80 81 86 90 88 85 82 69 72 79
Ambagan(Ctg) 2017 71 68 75 83 83 87 89 86 89 86 80 82 81
Cumilla 2017 72 70 78 82 79 83 86 82 86 82 76 81 79
Cox's Bazar 2017 68 67 76 81 78 85 89 87 87 83 76 76 79
Feni 2017 72 68 75 79 76 82 86 83 84 83 79 81 79
Hatiya 2017 79 77 81 85 84 88 94 89 91 89 86 89 86
Kutubdia 2017 71 71 76 80 78 82 87 84 85 82 77 78 79
M.court 2017 75 73 79 82 79 85 89 85 88 84 79 84 81
Rangamati 2017 75 67 70 77 75 84 85 81 82 80 79 81 78
Sandwip 2017 78 75 82 85 81 87 90 87 90 86 82 85 84
Chattogram 2017 65 65 72 78 77 84 87 84 84 79 75 77 77
Sitakunda 2017 75 70 77 82 81 85 88 86 88 85 82 84 81
