Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund
)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Productio
n
(M. Ton)"
33,Jashore,0,0,0.00,0.000,0,0,0,0.00,0.000,0
34,Jhenaidah,20,8,17.62,1.625,13,0,0,0.00,0.000,0
35,Khulna,12417,5025,12.92,1.192,5990,13544,5481,12.07,1.113,6102
36,Kustia,272,110,13.80,1.273,140,280,113,13.41,1.237,140
37,Magura,2632,1065,12.01,1.108,1180,1494,605,12.43,1.147,693
38,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
39,Narail,13072,5290,12.55,1.158,6125,17291,6997,11.24,1.037,7255
40,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,"Khulna
Division",29537,11953,12.71,1.173,14018,33514,13562,11.68,1.077,14608
41,Jamalpur.,0,0,0,0.000,0,0,0,0,0,0
42,Mymensingh,0,0,0,0.000,0,0,0,0,0,0
43,Netrokona,0,0,0,0.000,0,0,0,0,0,0
44,Sherpur,0,0,0,0.000,0,0,0,0,0,0
5,"Mymensingh
Division",0,0,0.00,0.000,0,0,0,0.00,0,0
45,Bogra,0,0,0.00,0.000,0,0,0,0.00,0,0
46,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0,0
47,Naogaon,7537,3050,15.18,1.400,4270,7981,3230,14.79,1.364,4406
48,Natore,43652,17665,15.90,1.466,25900,43543,17621,15.93,1.469,25892
49,"Chapai
Nawabgonj",0,0,0.00,0.000,0,0,0,0.00,0.000,0
50,Pabna,105059,42515,14.90,1.374,58420,100005,40470,12.95,1.195,48341
51,Rajshahi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
52,Sirajgonj,47383,19175,14.52,1.339,25680,43593,17641,12.04,1.111,19592
6,"Rajshahi
Division",203631,82405,15.03,1.387,114270,195122,78962,13.49,1.244,98231
53,Dinajpur,0,0,0.00,,0,0,0,0.00,0.000,0
54,Gaibandha,0,0,0.00,,0,0,0,0.00,0.000,0
55,Kurigram,0,0,0.00,,0,0,0,0.00,0.000,0
56,Lalmonirhat,0,0,0.00,,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0.00,,0,0,0,0.00,0.000,0
58,Panchagar,0,0,0.00,,0,0,0,0.00,0.000,0
59,Rangpur,0,0,0.00,,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0.00,,0,0,0,0.00,0.000,0
7,"Rangpur
Division",0,0,0.00,,0,0,0,0.00,0.000,0
61,Hobigonj,66720,27000,15.18,1.400,37800,65870,26656,15.02,1.385,36930
62,Maulovibazar,4831,1955,15.64,1.442,2820,4927,1994,15.53,1.432,2856
63,Sunamgonj,141,57,10.65,0.982,56,137,55,11.22,1.035,57
64,Sylhet,7846,3175,15.50,1.430,4540,6932,2805,14.89,1.373,3853
8,"Sylhet
Division",79537,32187,15.23,1.405,45216,77866,31511,15.03,1.387,43697
BANGLADESH,,903078,365456,13.12,1.210,442201,837169,338784,12.82,1.183,400722
