Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,101612,41120,28.43,2.623,107839,129065,52230,25.12,2.317,121020
2,Barishal,16312,6601,27.65,2.550,16833,18185,7359,26.96,2.487,18300
3,Bhola,105244,42590,27.43,2.530,107753,109881,44466,27.36,2.524,112219
4,Jhalakathi,28430,11505,26.56,2.450,28190,29720,12027,28.20,2.601,31284
5,Patuakhali,58812,23800,27.65,2.550,60699,57073,23096,28.01,2.584,59672
6,Pirojpur,28541,11550,27.49,2.535,29285,30672,12412,28.60,2.638,32744
1,"Barishal
Division",338951,137166,27.71,2.556,350599,374596,151591,26.84,2.475,375239
7,Bandarban,7710,3120,33.99,3.136,9783,8342,3376,34.05,3.141,10603
8,Brahmanbaria,19806,8015,27.65,2.550,20438,20798,8416,26.68,2.461,20712
9,Chandpur,23698,9590,28.29,2.610,25027,23145,9366,29.84,2.752,25780
10,Chattogram,71845,29074,31.12,2.871,83470,72293,29256,32.65,3.012,88107
11,Cumilla,174769,70725,28.45,2.624,185611,175182,70892,29.23,2.696,191137
12,Cox' Bazar,8827,3572,28.95,2.670,9537,7861,3181,30.50,2.813,8950
13,Feni,16522,6686,27.49,2.535,16951,22143,8961,29.25,2.698,24176
14,Khagrachari,4819,1950,27.10,2.500,4875,4340,1756,28.14,2.596,4559
15,Laksmipur,58540,23690,29.05,2.680,63489,58880,23827,28.20,2.601,61979
16,Noakhali,77768,31471,28.19,2.600,81824,76688,31034,27.06,2.496,77461
17,Rangamati,1161,470,28.19,2.600,1222,1614,653,27.83,2.567,1677
2,"Chattogram
Division",465464,188363,28.91,2.666,502227,471286,190719,29.28,2.701,515140
18,Dhaka,1843,746,29.27,2.700,2014,1183,479,24.54,2.264,1084
19,Faridpur,3212,1300,27.75,2.560,3328,3718,1505,25.65,2.366,3560
20,Gazipur,3351,1356,29.81,2.750,3729,3293,1333,31.84,2.937,3914
21,Gopalgonj,1334,540,27.10,2.500,1350,1128,456,28.35,2.615,1194
22,Kishoregonj,59368,24025,29.28,2.701,64892,32459,13135,28.02,2.585,33949
23,Madaripur,680,275,27.99,2.582,710,547,221,26.41,2.436,539
24,Manikgonj,1510,611,27.43,2.530,1546,2034,823,25.58,2.359,1942
25,Munsigonj,220,89,28.63,2.640,235,284,115,32.42,2.990,344
26,Narayanganj,1705,690,28.74,2.651,1829,1539,623,20.25,1.868,1163
27,Narsingdi,806,326,27.10,2.500,815,1163,471,29.42,2.714,1277
28,Rajbari,363,147,27.95,2.578,379,368,149,31.77,2.930,436
29,Shariatpur,4448,1800,28.14,2.596,4672,4597,1860,26.46,2.441,4540
30,Tangail,390,158,29.30,2.703,427,520,210,29.42,2.714,571
3,"Dhaka
Division",79231,32063,29.05,2.680,85926,52833,21380,27.64,2.550,54513
31,Bagerhat,12800,5180,28.44,2.624,13590,10049,4067,28.95,2.670,10859
32,Chuadanga,94890,38400,31.60,2.914,111916,93348,37776,31.45,2.901,109585
