Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,215,0,0,0,141,161,163,141,161,161
2,Barishal,0,0,891,0,0,0,1131,1493,1519,1131,1493,1519
3,Bhola,0,0,257,0,0,0,506,402,167,506,402,167
4,Jhallokati,0,0,602,0,0,0,1259,815,806,1259,815,806
5,Patuakhali,0,0,237,0,0,0,222,223,221,222,223,221
6,Pirojpur,0,0,603,0,0,0,822,901,819,822,901,819
1,Barishal,0,0,2805,0,0,0,4081,4001,3701,4081,3995,3693
7,Bandarban,250,250,510,525,545,167,314,298,293,839,843,460
8,Brahmanbaria,0,12,401,0,467,570,2070,1038,911,2070,1505,1481
9,Chandpur,0,0,254,0,0,0,207,431,417,207,431,417
10,Chattogram,40,31,35,319,354,364,3266,3229,3228,3585,3583,3592
11,Cumilla,0,0,612,0,0,0,2123,1881,1554,2123,1881,1554
12,Cox's Bazar,5,32,321,66,139,143,636,566,568,702,705,711
13,Feni,0,0,23,0,0,0,160,162,167,160,162,167
14,Khagrachhari,121,123,734,275,253,315,629,598,594,904,851,909
15,Laksmipur,0,0,492,0,0,0,249,0,243,249,0,243
16,Noakhali,0,0,310,0,0,0,376,341,250,376,341,250
17,Rangamati,32,52,646,221,206,422,1337,1298,2423,1558,1504,2845
2,Chattogram,448,500,4338,1406,1964,1981,11367,9842,10648,12773,11806,12629
18,Dhaka,0,0,449,0,0,0,931,920,869,931,920,869
19,Faridpur,0,0,63,0,0,28,764,735,560,764,735,588
20,Gazipur,79,78,465,250,254,550,297,614,290,547,868,840
21,Gopalganj,5,0,489,24,0,0,535,627,639,559,627,639
22,Kishorganj,1,4,535,132,145,56,1164,1288,1261,1296,1433,1317
23,Madaripur,0,0,171,0,0,0,454,766,435,454,766,435
24,Manikganj,0,0,191,0,0,0,703,720,695,703,720,695
25,Munshiganj,0,0,76,0,0,0,148,153,156,148,153,156
26,Narayanganj,0,0,80,0,0,0,169,139,135,169,139,135
27,Narsingdi,2,3,22,11,17,0,926,829,771,937,846,771
28,Rajbari,0,0,389,0,0,0,1100,1519,1227,1100,1519,1227
29,Shariatpur,0,0,429,0,0,0,491,535,319,491,535,319
30,Tangail,0,0,396,0,0,0,1820,1789,1826,1820,1789,1826
3,Dhaka,87,85,3755,417,416,634,9502,10634,9183,9919,11050,9817
31,Bagerhat,0,0,607,0,0,0,768,672,694,768,672,694
32,Chuadanga,0,0,115,0,0,56,275,294,145,275,294,201
33,Jashore,6,227,840,108,97,104,2404,2180,2234,2512,2277,2338
34,Jhenaidah,0,0,402,0,0,0,1346,1395,1443,1346,1395,1443
35,Khulna,0,0,521,0,0,0,1186,1081,887,1186,1081,887
36,Kushtia,30,30,600,296,273,255,1411,1202,1282,1707,1475,1537
