Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,102,17,0,0,0,113,113,93,113,113,93
38,Meherpur,0,3,4,0,0,0,2,2,2,2,2,2
39,Narail,0,36,6,0,0,15,30,30,12,30,30,27
40,Satkhira,0,110,100,0,0,0,95,95,93,95,95,93
4,Khulna,15,1349,310,31,31,46,853,853,794,884,884,840
41,Jamalpur,0,822,409,0,0,0,1120,1120,1335,1120,1120,1335
42,Mymensing,32,2193,0,342,342,204,1904,1904,1815,2246,2246,2019
43,Netrakona,0,696,2,0,0,0,629,629,847,629,629,847
44,Sherpur,0,343,36,0,0,0,294,294,303,294,294,303
5,Mymensing,32,4055,447,342,342,204,3947,3947,4300,4289,4289,4504
45,Bogura,0,428,85,0,0,0,392,392,391,392,392,391
46,Joypurhat,0,252,17,0,0,0,148,148,150,148,148,150
47,Naogaon,0,469,58,29,29,44,271,271,396,300,300,440
48,Natore,0,110,9,0,0,0,210,210,176,210,210,176
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,33,2,0,0,0,24,24,27,24,24,27
51,Rajshahi,0,57,28,0,0,0,119,119,130,119,119,130
52,Sirajganj,0,291,20,0,0,0,332,332,220,332,332,220
6,Rajshahi,0,1641,219,29,29,44,1496,1496,1490,1525,1525,1534
53,Dinajpur,0,280,47,0,0,0,277,277,350,277,277,350
54,Gaibandha,0,220,121,0,0,0,228,228,276,228,228,276
55,Kurigram,0,214,23,0,0,0,207,207,209,207,207,209
56,Lalmonirhat,0,681,52,0,0,0,635,635,738,635,635,738
57,Nilphamari,0,457,63,0,0,0,467,467,503,467,467,503
58,Panchagarh,0,288,48,0,0,0,398,398,319,398,398,319
59,Rangpur,0,213,18,0,0,0,194,194,214,194,194,214
60,Thakurgaon,0,186,22,0,0,0,453,453,449,453,453,449
7,Rangpur,0,2539,394,0,0,0,2859,2859,3058,2859,2859,3058
61,Habiganj,0,39,50,0,0,0,46,46,39,46,46,39
62,Maulvibazar,0,1173,130,0,0,0,850,850,665,850,850,665
63,Sunamganj,0,1055,126,0,0,0,531,531,498,531,531,498
64,Sylhet,50,526,128,7,7,0,239,239,205,246,246,205
8,Sylhet,50,2793,434,7,7,0,1666,1666,1407,1673,1673,1407
,BANGLADESH,184,20918,4766,1093,1066,642,16795,16896,16805,17888,17962,17447
