Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
36,Kushtia,62,648,807,508,708,725,13955,13550,14700,14463,14258,15425
38,Meherpur,10,71,157,27,0,0,620,711,699,647,711,699
39,Narail,31,30,478,395,394,1489,6773,6408,3869,7168,6802,5358
40,Satkhira,168,182,642,624,747,963,4204,4132,4266,4828,4879,5229
4,Khulna,7037,4719,6068,13210,14226,10060,72087,61980,78957,85297,76206,89017
41,Jamalpur,0,0,254,0,0,0,3782,5363,3249,3782,5363,3249
42,Mymensing,56,57,11593,367,358,296,17989,18438,16740,18356,18796,17036
43,Netrakona,0,0,7,0,0,0,5746,0,3926,5746,0,3926
44,Sherpur,0,0,103,0,0,0,1015,0,1024,1015,0,1024
5,Mymensing,56,57,11957,367,358,296,28532,23801,24939,28899,24159,25235
45,Bogura,4,4,453,100,109,100,8847,9347,7808,8947,9456,7908
46,Joypurhat,18,17,96,124,131,140,540,562,587,664,693,727
47,Naogaon,5,68,133,23,0,0,877,988,956,900,988,956
48,Natore,0,0,527,0,0,0,10248,10584,16353,10248,10584,16353
49,"Chapai
Nawabganj",7,88,114,30,27,0,325,392,451,355,419,451
50,Pabna,54,0,762,313,303,302,7443,7107,6952,7756,7410,7254
51,Rajshahi,147,80,419,783,593,695,7548,6766,7679,8331,7359,8374
52,Sirajganj,0,0,172,0,0,0,3967,3123,3146,3967,3123,3146
6,Rajshahi,235,257,2676,1373,1163,1237,39795,38869,43932,41168,40032,45169
53,Dinajpur,0,103,396,0,0,0,3359,2982,3834,3359,2982,3834
54,Gaibandha,0,393,318,0,0,0,1750,1721,1745,1750,1721,1745
55,Kurigram,0,54,80,0,0,0,687,733,740,687,733,740
56,Lalmonirhat,0,25,49,0,0,0,1003,808,894,1003,808,894
57,Nilphamari,0,68,108,0,1,0,2083,2144,2073,2083,2145,2073
58,Panchagarh,0,86,127,0,95,97,1657,1555,1581,1657,1650,1678
59,Rangpur,0,63,118,0,57,0,1738,1606,1948,1738,1663,1948
60,Thakurgaon,0,374,654,0,0,0,685,745,746,685,745,746
7,Rangpur,0,1166,1850,0,153,97,12962,12294,13561,12962,12447,13658
61,Habiganj,0,0,1287,0,0,132,3689,3923,5156,3689,3923,5288
62,Maulvibazar,171,150,389,0,428,359,4118,3106,3484,4118,3534,3843
63,Sunamganj,0,0,257,0,0,0,2845,2848,2808,2845,2848,2808
64,Sylhet,38,28,34,0,71,71,1955,1659,1661,1955,1730,1732
8,Sylhet,209,178,1967,0,499,562,12607,11536,13109,12607,12035,13671
BANGLADESH,,9602,10365,88740,30556,36612,35570,396026,466975,39602,408635,466975,431596
