Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,109,0,0,0,0,0,125,0,0,125
2,Barishal,0,0,2,0,0,0,0,0,2,0,0,2
3,Bhola,0,0,22,0,0,0,0,0,17,0,0,17
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,11,0,0,0,0,0,13,0,0,13
6,Pirojpur,0,0,144,0,0,0,0,0,157,0,0,157
1,Barishal,0,0,0,0,0,0,0,0,3,0,0,3
7,Bandarban,0,0,0,0,0,0,0,0,44,0,0,44
8,Brahmanbaria,0,0,0,0,0,0,0,0,42,0,0,42
9,Chandpur,0,0,0,0,0,0,0,0,157,0,0,157
10,Chattogram,0,0,26,0,0,0,0,0,25,0,0,55
11,Cumilla,0,0,0,0,0,30,0,0,0,0,0,0
12,Cox's Bazar,0,0,2,0,0,0,0,0,3,0,0,3
13,Feni,0,0,52,0,0,0,0,0,52,0,0,57
14,Khagrachhari,0,0,1,0,0,5,0,0,5,0,0,5
15,Laksmipur,0,0,14,0,0,0,0,0,9,0,0,9
16,Noakhali,0,0,111,0,0,0,0,0,204,0,0,205
17,Rangamati,0,0,206,0,0,1,0,0,544,0,0,580
2,Chattogram,0,0,26,0,0,36,0,0,109,0,0,109
18,Dhaka,0,0,14,0,0,0,0,0,56,0,0,56
19,Faridpur,0,0,75,0,0,0,0,0,80,0,0,80
20,Gazipur,0,0,42,0,0,0,0,0,80,0,0,80
21,Gopalganj,0,0,26,0,0,0,0,0,64,0,0,64
22,Kishorganj,0,0,38,0,0,0,0,0,645,0,0,645
23,Madaripur,0,0,40,0,0,0,0,0,79,0,0,79
24,Manikganj,0,0,1,0,0,0,0,0,114,0,0,114
25,Munshiganj,0,0,5,0,0,0,0,0,31,0,0,31
26,Narayanganj,0,0,1,0,0,0,0,0,6,0,0,6
27,Narsingdi,0,0,12,0,0,0,0,0,20,0,0,28
28,Rajbari,0,0,12,0,0,8,0,0,56,0,0,56
29,Shariatpur,0,0,45,0,0,0,0,0,254,0,0,254
30,Tangail,0,0,337,0,0,0,0,0,1594,0,0,1602
3,Dhaka,0,0,61,0,0,8,0,0,1647,0,0,1647
31,Bagerhat,0,0,5,0,0,0,0,0,10,0,0,10
32,Chuadanga,0,0,49,0,0,0,0,0,403,0,0,403
33,Jashore,0,0,24,0,0,0,0,0,122,0,0,122
34,Jhenaidah,0,0,45,0,0,0,0,0,92,0,0,129
35,Khulna,0,0,15,0,0,37,0,0,121,0,0,121
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
