Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,2,0,0,0,0,0,1,0,0,1,0,0
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal,2,0,0,0,0,0,1,0,0,1,0,0
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,1,0,0,0,4,0,3,4,0,3
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,74,74,74,184,184,186,81,76,77,265,260,263
11,Cumilla,1,0,3,2,2,8,1,1,10,3,3,18
12,Cox's Bazar,87,87,87,111,111,94,55,55,60,166,166,154
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,8,8,20,5,6,6,3,2,3,8,8,9
2,Chattogram,170,169,185,302,303,294,144,134,153,446,437,447
18,Dhaka,9,8,64,24,87,86,1,75,67,25,162,153
19,Faridpur,2,2,2,3,3,1,5,4,0,8,7,1
20,Gazipur,14,14,28,15,74,35,0,59,7,15,133,42
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishorganj,12,0,18,2,2,1,8,8,1,10,10,2
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,10,10,10,4,40,3,0,36,0,4,76,3
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,63,4,6,2,2,0,0,1,0,2,3,0
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,2,2,4,1,1,2,0,0,9,1,1,11
3,Dhaka,112,40,132,51,209,128,14,183,84,65,392,212
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,8,14,0,16,16,8,8,8,0,24,24,8
33,Jashore,202,201,210,18273,0,1530,594,15064,13771,18867,15064,15301
34,Jhenaidah,12,6,5,34,13,3,5,9,13,39,22,16
35,Khulna,3,0,0,1,0,0,2,0,0,3,0,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
