Name of Stations,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chattogram,3101,3643,2561,3450,3713,2274,3817,2752,2870
Cox's Bazar,4440,4123,4059,2483,4716,3297,3951,3634,2840
Kutubdia,3894,4677,4203,2960,4253,2925,3721,2996,2613
Sandwip,4260,4081,3183,3468,4024,3743,5072,3930,**
Sitakunda,3758,3933,2598,2964,3811,2753,4868,3527,**
Teknaf,4978,4869,4186,3507,5447,4299,4178,3928,**
Rangamati,2361,2817,1950,1923,3342,2032,3819,2987,2706
Cumilla,1884,1929,1643,1635,2155,2174,3179,1712,1851
Chandpur,2128,1757,2545,1774,2804,2350,3006,1973,1637
Maijdicourt,3234,2466,3044,2813,3209,2838,3902,2388,2669
Feni,3194,2885,2488,2510,3099,3091,4476,2662,**
Hatiya,3842,3005,3436,3128,4360,3668,4235,2658,**
Sylhet,3101,4610,3825,3372,4521,4291,5944,3581,3668
Dhaka,1776,1329,1590,1399,2166,1365,2892,1732,1837
Faridpur,1509,1279,1639,1552,1827,1649,2117,1465,**
Madaripur,1613,1546,2152,1436,1877,1983,0,1861,**
Mymensinghh,2147,1479,1739,1934,2084,1968,2842,2131,**
Srimangal,2050,1927,2352,2282,2518,2546,3813,2186,**
Tangail,1839,1469,1182,1641,1871,1131,2488,1639,**
Barishal,1909,1617,2321,1454,2434,2351,2624,1418,1612
Bhola,2015,1493,2194,1762,2649,2460,2497,1513,1895
Jashore,1361,1305,1676,1318,1867,1366,2178,1142,**
Khulna,1948,1645,2064,1461,2317,2222,2286,1073,**
Mongla,2247,1784,1831,1508,2110,2118,2100,1710,1952
Satkhira,2121,1458,1662,1298,1792,1345,1931,1292,**
Khepupara,3092,2628,3120,1877,3151,2784,3344,2961,3095
Patuakhali,2414,1895,2658,2028,3098,2751,2831,1902,**
Bogura,1721,1140,1219,1708,1581,1081,2163,1650,1633
Dinajpur,1644,1511,1827,1398,1965,1649,1752,920,**
Ishwardi,1736,1062,1129,1440,1584,1316,1799,1321,**
Rajshahi,1475,1164,1248,1188,1421,1375,1463,956,1235
Rangpur,1932,1877,1916,1591,2417,2159,1852,1442,**
Sayedpur,1890,1790,1722,1668,1885,1373,2127,1493,**
Chuadanga,1622,1138,1165,1090,1465,1395,1532,1223,**
