Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,596,781,0,0,0,393,393,180,393,393,180
2,Barishal,40,1457,1794,705,705,0,5323,5323,981,6028,6028,981
3,Bhola,0,406,457,0,0,1,1066,1066,443,1066,1066,444
4,Jhallokati,20,2095,2327,140,1230,0,3096,3728,388,3236,4958,388
5,Patuakhali,0,652,781,0,0,0,477,477,1308,477,477,1308
6,Pirojpur,138,767,1232,1507,1507,6,3029,3029,481,4536,4536,487
1,Barishal,198,5972,7382,2352,3442,7,13384,14016,3781,15736,17458,3788
7,Bandarban,19,125,123,36,36,0,176,141,8,212,177,8
8,Brahmanbaria,0,19,12,0,0,5,21,25,363,21,25,368
9,Chandpur,0,140,202,0,0,0,111,111,1340,111,111,1340
10,Chattogram,0,345,304,0,0,0,442,458,1188,442,458,1188
11,Cumilla,0,293,223,0,6,0,229,254,116,229,260,116
12,Cox's Bazar,0,232,225,0,0,86,519,462,4,519,462,90
13,Feni,0,44,35,0,0,0,49,42,553,49,42,553
14,Khagrachhari,0,117,116,0,0,0,162,170,81,162,170,81
15,Laksmipur,0,293,215,0,0,0,226,213,6,226,213,6
16,Noakhali,0,339,357,0,0,2721,225,181,365,225,181,3086
17,Rangamati,4,139,146,19,18,267,250,225,47,269,243,314
2,Chattogram,23,2087,1958,55,60,3079,2410,2282,4071,2465,2342,7150
18,Dhaka,0,116,104,0,0,6,254,248,117,254,248,123
19,Faridpur,0,638,546,0,0,144,675,669,1096,675,669,1240
20,Gazipur,4,106,76,15,15,132,156,156,435,171,171,567
21,Gopalganj,0,363,276,0,0,15,769,771,1088,769,771,1103
22,Kishorganj,0,182,161,0,0,0,354,350,64,354,350,64
23,Madaripur,0,135,102,0,0,605,773,757,539,773,757,1144
24,Manikganj,0,26,17,0,0,0,60,62,121,60,62,121
25,Munshiganj,0,69,53,0,0,0,147,151,49,147,151,49
26,Narayanganj,0,77,64,0,0,0,167,167,333,167,167,333
27,Narsingdi,0,63,48,0,0,9,200,119,1,200,119,10
28,Rajbari,0,320,274,0,0,8,496,467,707,496,467,715
29,Shariatpur,0,232,351,0,0,23,269,294,628,269,294,651
30,Tangail,0,308,450,0,0,18,458,459,393,458,459,411
3,Dhaka,4,2637,2522,15,15,960,4778,4670,5571,4793,4685,6531
31,Bagerhat,0,944,775,0,0,0,986,923,301,986,923,301
32,Chuadanga,8,143,127,33,26,484,465,462,274,498,488,758
33,Jashore,14,409,456,93,81,0,1594,1334,1270,1687,1415,1270
34,Jhenaidah,0,45,58,0,0,0,1456,133,100,1456,133,100
35,Khulna,0,365,375,0,0,55,1585,1739,3,1585,1739,58
36,Kushtia,0,225,180,0,0,46,574,628,864,574,628,910
