Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,538,0,0,0,0,1261,1229,1247,1261,1229,1247
38,Meherpur,0,60,36,0,0,0,130,136,130,130,136,130
39,Narail,0,100,37,0,0,31,271,309,153,271,309,184
40,Satkhira,0,408,226,0,0,0,464,673,680,464,673,680
4,Khulna,0,3179,3034,0,0,31,6165,5878,5837,6165,5878,5868
41,Jamalpur,0,316,154,0,0,0,534,554,512,534,554,512
42,Mymensing,0,916,760,0,0,88,1494,1532,1813,1494,1532,1901
43,Netrakona,0,322,342,0,0,0,469,554,519,469,554,519
44,Sherpur,0,278,27,0,0,0,350,389,385,350,389,385
5,Mymensing,0,1832,2143,0,0,88,2847,3029,3229,2847,3029,3317
45,Bogura,0,466,67,0,0,0,855,861,862,855,861,862
46,Joypurhat,0,136,23,0,0,0,185,186,184,185,186,184
47,Naogaon,0,274,146,0,0,0,514,533,398,514,533,398
48,Natore,0,593,117,0,0,0,1342,1342,923,1342,1342,923
49,Chapai Nawabganj,0,111,59,0,0,0,197,224,233,197,224,233
50,Pabna,0,362,115,0,0,116,957,990,1763,957,990,1879
51,Rajshahi,0,216,200,0,0,0,460,500,513,460,500,513
52,Sirajganj,0,231,26,0,0,0,430,445,424,430,445,424
6,Rajshahi,0,2388,2572,0,0,116,4940,5081,5300,4940,5081,5416
53,Dinajpur,0,181,36,0,0,0,209,171,171,209,171,171
54,Gaibandha,0,61,11,0,0,0,75,69,65,75,69,65
55,Kurigram,0,90,22,0,0,0,166,175,157,166,175,157
56,Lalmonirhat,0,188,45,0,0,0,191,208,184,191,208,184
57,Nilphamari,0,154,28,0,0,0,158,174,190,158,174,190
58,Panchagarh,0,93,44,0,0,0,111,111,106,111,111,106
59,Rangpur,0,100,15,0,0,0,182,181,174,182,181,174
60,Thakurgaon,0,49,311,0,0,0,51,67,68,51,67,68
7,Rangpur,0,916,913,0,0,0,1143,1156,1115,1143,1156,1115
61,Habiganj,0,53,54,0,0,0,122,61,64,122,61,64
62,Maulvibazar,0,54,51,0,0,0,30,130,121,30,130,121
63,Sunamganj,0,47,8,0,0,0,38,35,35,38,35,35
64,Sylhet,0,59,221,0,0,0,57,58,62,57,58,62
8,Sylhet,0,214,208,0,0,0,247,284,282,247,284,282
,BANGLADESH,62,17532,17901,349,327,1656,28396,27851,27050,28745,28178,28706
