Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,70,72,0,0,0,20,101,100,20,101,100
2,Barishal,0,220,225,0,0,0,110,306,347,110,306,347
3,Bhola,0,163,103,0,0,0,64,159,110,64,159,110
4,Jhallokati,0,70,220,0,0,0,139,102,170,139,102,170
5,Patuakhali,0,138,195,0,0,0,83,173,118,83,173,118
6,Pirojpur,0,84,62,0,0,0,71,124,79,71,124,79
1,Barishal,0,745,783,0,0,0,487,965,924,487,965,924
7,Bandarban,7,57,58,27,27,27,178,176,178,205,203,205
8,Brahmanbaria,0,89,78,0,0,0,279,290,238,279,290,238
9,Chandpur,0,163,175,0,0,0,270,270,302,270,270,302
10,Chattogram,0,178,177,0,0,0,479,584,545,479,584,545
11,Cumilla,0,227,242,0,0,0,669,650,612,669,650,612
12,Cox's Bazar,0,83,79,0,0,0,254,271,280,254,271,280
13,Feni,0,129,134,0,0,0,191,63,195,191,63,195
14,Khagrachhari,0,98,104,0,0,0,225,234,246,225,234,246
15,Laksmipur,0,282,280,0,0,0,391,390,29,391,390,29
16,Noakhali,0,171,172,0,0,0,192,190,161,192,190,161
17,Rangamati,10,196,204,10,9,12,480,442,464,490,451,476
2,Chattogram,17,1673,1671,37,36,39,3608,3560,3250,3645,3596,3289
18,Dhaka,0,54,278,0,0,0,142,133,203,142,133,203
19,Faridpur,0,55,58,0,0,0,113,113,45,113,113,45
20,Gazipur,0,93,94,11,12,55,244,142,276,255,254,331
21,Gopalganj,0,53,54,32,0,39,32,81,32,64,81,71
22,Kishorganj,0,143,127,0,0,0,475,434,419,475,434,419
23,Madaripur,0,27,28,0,0,17,32,24,22,32,24,39
24,Manikganj,0,48,50,0,0,0,117,118,130,117,118,130
25,Munshiganj,0,46,46,0,0,0,90,89,28,90,89,28
26,Narayanganj,0,54,54,0,0,0,159,154,154,159,154,154
27,Narsingdi,0,63,64,0,115,0,182,536,132,182,651,132
28,Rajbari,0,21,29,0,0,42,21,25,24,21,25,66
29,Shariatpur,0,154,132,0,0,0,110,114,127,110,114,127
30,Tangail,0,275,282,0,0,0,487,509,521,487,509,521
3,Dhaka,0,1085,1092,43,127,153,2204,2472,2113,2247,2599,2266
31,Bagerhat,0,131,234,0,0,36,54,48,0,54,48,36
32,Chuadanga,0,10,11,0,0,15,13,16,8,13,16,23
33,Jashore,0,85,87,0,0,0,133,139,141,133,139,141
34,Jhenaidah,0,12,15,0,0,0,15,15,18,15,15,18
35,Khulna,0,67,68,0,0,0,85,87,92,85,87,92
36,Kushtia,0,19,19,0,0,0,28,37,37,28,37,37
