District name,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,427,0,0,0,0,0,470,0
Jhalokathi,475,0,0,0,0,0,544,0
Perojpur,450,350,430,0,0,0,492,375
Bhola,420,0,380,0,0,0,465,0
Patuakhali,450,0,430,0,0,0,500,0
Barguna,375,0,0,0,0,0,400,0
Barisal Division,433,350,413,0,0,0,479,375
Jashore,0,0,0,0,0,0,328,200
Jhenaidah,325,235,230,235,327,222,363,277
Magura,356,0,209,0,298,0,392,0
Narail,283,0,260,0,248,0,366,302
Khulna,0,0,0,0,0,0,328,200
Bagerhat,444,350,430,280,420,270,500,350
Satkhira,0,0,0,0,0,0,321,213
Kushtia,335,0,312,0,272,0,373,0
Chuadanga,237,0,0,0,0,0,293,0
Meherpur,260,0,0,0,0,0,300,0
Khulna Division,320,293,288,258,313,246,356,257
Rajshahi,357,254,336,253,0,0,380,266
Naogaon,340,291,330,292,320,282,350,305
Natore,309,222,0,0,0,0,347,245
Chapai Nawabganj,315,275,300,260,290,240,330,242
Bogra,353,0,330,0,305,0,370,0
Joypurhat,300,250,0,0,270,250,320,260
Pabna,386,224,370,201,355,0,406,237
Sirajganj,347,0,319,0,0,0,361,300
Rajshahi Division,338,253,331,252,308,257,358,265
Rangpur,340,272,0,0,0,0,306,267
Gaibandha,0,0,0,0,0,0,340,240
Kurigram,324,200,0,0,0,0,342,243
Nilphamari,346,233,0,0,0,0,326,218
Lalmonirhat,297,205,0,0,0,0,320,245
Dinajpur,319,256,298,241,300,0,345,260
Thakurgaon,302,272,0,0,0,0,330,285
Panchagarh,325,215,0,0,0,0,350,235
Rangpur Division,322,236,298,241,300,0,332,249
BANGLADESH,378,278,367,282,359,278,411,291
