Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,18,31,322,9,28,32,101,175,184,110,203,203
2,Barishal,0,0,893,0,0,0,1889,1141,1907,1889,1141,1141
3,Bhola,0,0,269,0,0,0,415,208,252,415,208,208
4,Jhallokati,0,0,1490,0,0,3,245,264,249,245,264,264
5,Patuakhali,0,0,353,0,0,0,477,494,223,477,494,494
6,Pirojpur,2,2,458,20,26,24,525,463,495,545,489,489
1,Barishal,20,33,3785,29,54,59,3652,2745,928,3681,2799,2799
7,Bandarban,362,362,3383,302,303,303,159,180,154,461,483,483
8,Brahmanbaria,0,0,79,0,0,0,826,560,628,826,560,560
9,Chandpur,2,0,119,15,0,43,400,912,223,415,912,912
10,Chattogram,100,99,69182,1451,1174,5105,5708,6506,158550,7159,7680,7680
11,Cumilla,2,2,1024,22,20,2,2592,2365,2,2614,2389,2389
12,Cox's Bazar,30,118,70218,152,235,206,802,625,644,954,860,860
13,Feni,0,0,193,0,0,541,124,233,6687,124,233,233
14,Khagrachhari,178,219,264,105,272,206,605,437,260,710,709,709
15,Laksmipur,22,9,488,51,29,0,341,221,332,392,250,250
16,Noakhali,0,0,73,0,0,0,340,406,374,340,406,406
17,Rangamati,178,173,661,1036,1009,2342,777,772,1128,1813,1781,1781
2,Chattogram,874,982,145684,3134,3042,8748,12674,13217,168982,15808,16263,16263
18,Dhaka,782,742,552,8060,8028,6763,1763,1727,57,9823,9755,9755
19,Faridpur,14,14,146,28,26,277,294,290,26,322,316,316
20,Gazipur,2217,184,511,323,297,175,148,432,336,471,729,729
21,Gopalganj,33,0.3,611,94,5,0,296,238,374,390,243,243
22,Kishorganj,15,38,57,47,44,0,426,428,504,473,472,472
23,Madaripur,0,0,111,0,0,78,300,187,30,300,187,187
24,Manikganj,48,47,255,395,390,2900,56,57,392,451,447,447
25,Munshiganj,0,0,42,0,0,0,108,107,96,108,107,107
26,Narayanganj,2,2,35,13,14,131,119,130,23,132,144,144
27,Narsingdi,49,48,80,185,143,353,279,371,438,464,514,514
28,Rajbari,0,37,19,0,72,267,143,216,77,143,288,288
29,Shariatpur,0,0,25,0,0,0,236,259,21,236,259,259
30,Tangail,92,81,344,593,132,0,817,587,0,1410,719,719
3,Dhaka,3252,1193,2788,9738,9151,10944,4985,5029,2374,14723,14180,14180
31,Bagerhat,10,11,10,18,21,0,323,269,531,341,290,290
32,Chuadanga,34,9,47,50,55,64,116,126,34,166,181,181
33,Jashore,133,134,663,409,372,611,572,493,427,981,865,865
34,Jhenaidah,8,6,111,14,16,331,408,421,121,422,437,437
35,Khulna,29,30,100,37,30,666,912,655,30,949,685,685
36,Kushtia,72,0,135,403,0,1273,1298,137,491,1701,137,137
